sigma,pi_reward,base_opp,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime_hier,condition
0.75,0.25,0.3,12,0.1463414634146341,0.5314285714285715,0.1257142857142857,0.8441514536849223,0.9560513860716701,0.5625422582826234,MIXED,off
0.75,0.25,0.3,13,0.1453488372093023,0.5085714285714286,0.1257142857142857,0.8498233215547704,0.9526501766784452,0.6636042402826855,MIXED,off
0.75,0.25,0.3,14,0.147239263803681,0.5342857142857143,0.12,0.7839481151195784,0.9428455614106201,0.5026347790839076,MIXED,off
0.75,0.25,0.3,15,0.1494252873563218,0.5028571428571429,0.16,0.7626494940202392,0.937442502299908,0.5101195952161913,MIXED,off
0.75,0.25,0.3,16,0.173076923076923,0.5542857142857143,0.1371428571428571,0.7826406767193821,0.945568223611622,0.4394998161088636,MIXED,off
0.75,0.25,0.3,17,0.1354838709677419,0.5571428571428572,0.1228571428571428,0.8555420956995761,0.9682010902483343,0.5311932162325863,MIXED,off
0.75,0.25,0.3,18,0.1311475409836065,0.4771428571428571,0.1285714285714285,0.7679164689131467,0.9307071665875652,0.608922638822971,MIXED,off
0.75,0.25,0.3,19,0.144578313253012,0.5257142857142857,0.1257142857142857,0.7538259728902492,0.934849147354613,0.445124617402711,MIXED,off
0.75,0.25,0.3,20,0.1354838709677419,0.5571428571428572,0.1314285714285714,0.8370283936211591,0.9599377674056787,0.6367172306495527,MIXED,off
0.75,0.25,0.3,21,0.1176470588235294,0.5142857142857142,0.1114285714285714,0.8608340888485947,0.9406165004533091,0.5979147778785131,MIXED,off
0.75,0.25,0.3,22,0.1510791366906475,0.6028571428571429,0.1257142857142857,0.8440295604823026,0.9595488136911707,0.49474912485414235,MIXED,off
0.75,0.25,0.3,23,0.0982658959537572,0.5057142857142857,0.1228571428571428,0.8440163023341979,0.9585031493145609,0.6154131159688774,MIXED,off
0.75,0.25,0.3,24,0.1216216216216216,0.5771428571428572,0.14,0.8192688759822344,0.9634437991117185,0.5076870515886573,MIXED,off
0.75,0.25,0.3,25,0.1569767441860465,0.5085714285714286,0.1371428571428571,0.7454212454212454,0.9336080586080586,0.48855311355311354,MIXED,off
0.75,0.25,0.3,26,0.1137724550898203,0.5228571428571429,0.1142857142857142,0.8042259594652867,0.9473911168607159,0.5894782233721432,MIXED,off
0.75,0.25,0.3,27,0.1366459627329192,0.54,0.1142857142857142,0.7756135566809506,0.9431242695753799,0.5438254772107518,MIXED,off
0.75,0.25,0.3,28,0.1428571428571428,0.54,0.1228571428571428,0.8039391226499553,0.9409131602506714,0.5214861235452104,MIXED,off
0.75,0.25,0.3,29,0.1454545454545454,0.5285714285714286,0.1285714285714285,0.7985166872682324,0.934487021013597,0.5278121137206427,MIXED,off
0.75,0.25,0.3,30,0.1413043478260869,0.4742857142857143,0.1428571428571428,0.7312696276357111,0.9282189322566173,0.5145805293853746,MIXED,off
0.95,0.5,0.3,1,0.1213592233009708,0.4114285714285714,0.1057142857142857,0.8355618776671409,0.9610241820768136,0.7689900426742532,MIXED,off
0.95,0.5,0.3,2,0.1269035532994923,0.4371428571428571,0.1142857142857142,0.8652912621359223,0.9710760517799353,0.8201860841423948,MIXED,off
0.95,0.5,0.3,3,0.1243523316062176,0.4485714285714285,0.1114285714285714,0.8553044569993723,0.9569993722536095,0.7504708097928436,MIXED,off
0.95,0.5,0.3,4,0.1655629139072847,0.5685714285714286,0.1057142857142857,0.8683697347893916,0.983814352574103,0.7381045241809673,MIXED,off
0.95,0.5,0.3,5,0.1218274111675127,0.4371428571428571,0.1228571428571428,0.8516795865633074,0.9666666666666667,0.7870801033591731,MIXED,off
0.95,0.5,0.3,6,0.1510416666666666,0.4514285714285714,0.12,0.8604591836734694,0.9650510204081633,0.7701530612244898,MIXED,off
0.95,0.5,0.3,7,0.1468926553672316,0.4942857142857143,0.1085714285714285,0.8721203573107663,0.9668547249647391,0.7790314997649271,MIXED,off
0.95,0.5,0.3,8,0.1136363636363636,0.3714285714285714,0.1057142857142857,0.8493667475074104,0.9606575047157101,0.7758016707087039,MIXED,off
0.95,0.5,0.3,9,0.146788990825688,0.3771428571428571,0.12,0.7885117493472585,0.9460400348128808,0.6791412822744416,MIXED,off
0.95,0.5,0.3,10,0.1502590673575129,0.4485714285714285,0.1114285714285714,0.8490435584235999,0.9645079511408159,0.7139893984789122,MIXED,off
0.95,0.5,0.3,11,0.1226415094339622,0.3942857142857143,0.1228571428571428,0.875970460140125,0.9700814239727324,0.8468093164173452,MIXED,off
0.95,0.5,0.3,12,0.1602209944751381,0.4828571428571429,0.1142857142857142,0.8338934229476717,0.972395583293327,0.6989918386941911,MIXED,off
0.95,0.5,0.3,13,0.1459459459459459,0.4714285714285714,0.1114285714285714,0.8652924256951102,0.9700383509108341,0.8008149568552253,MIXED,off
0.95,0.5,0.3,14,0.1612903225806451,0.4685714285714286,0.1114285714285714,0.8764551257979722,0.9793466015771686,0.8193766428839655,MIXED,off
0.95,0.5,0.3,15,0.1363636363636363,0.4342857142857143,0.1085714285714285,0.8498635122838945,0.9617834394904459,0.7934485896269335,MIXED,off
