seed,sigma,pi_reward,delta_outside_degrade,eta_delta_drift,exit_opportunity_base,final_exit_rate,final_active_punish,final_enforcer_share,final_q_above_threshold,final_fund_prevalence,final_enforcement_pressure,regime_overt,regime_acquiescence_aware,mislabeled_fear_capture,config
1,0.25,0.2510324036529688,0.25,0.12,0.35,0.8114285714285714,0.0,0.0,0.0,0.106060606060606,0.0,QUIET,QUIET,False,P1S1A1
2,0.25,0.2510324036529688,0.25,0.12,0.35,0.7942857142857143,0.0,0.0,0.0,0.1527777777777778,0.0,QUIET,QUIET,False,P1S1A1
3,0.25,0.2510324036529688,0.25,0.12,0.35,0.7828571428571428,0.0,0.0,0.0,0.1578947368421052,0.0,QUIET,QUIET,False,P1S1A1
4,0.25,0.2510324036529688,0.25,0.12,0.35,0.8457142857142858,0.0,0.0,0.0,0.1481481481481481,0.0,QUIET,QUIET,False,P1S1A1
5,0.25,0.2510324036529688,0.25,0.12,0.35,0.6171428571428571,0.0,0.0,1.0,0.1119402985074626,1.0,QUIET,QUIET,True,P1S1A1
2,0.25,0.2510324036529688,0.25,0.12,0.6,0.5571428571428572,0.0774193548387096,1.0,0.9096774193548388,0.0709677419354838,0.9184183142559832,QUIET,QUIET,True,P1S1A1
1,0.25,0.2510324036529688,0.25,0.12,0.6,0.84,0.0,0.0,0.0,0.1607142857142857,0.0,QUIET,QUIET,False,P1S1A1
3,0.25,0.2510324036529688,0.25,0.12,0.6,0.8257142857142857,0.0,0.0,0.0,0.180327868852459,0.0,QUIET,QUIET,False,P1S1A1
4,0.25,0.2510324036529688,0.25,0.12,0.6,0.84,0.0,0.0,0.0,0.1607142857142857,0.0,QUIET,QUIET,False,P1S1A1
5,0.25,0.2510324036529688,0.25,0.12,0.6,0.7457142857142857,0.0,0.0,0.0,0.146067415730337,0.0,QUIET,QUIET,False,P1S1A1
2,0.25,0.5010324036529687,0.25,0.12,0.15,0.0314285714285714,0.1592920353982301,0.9863013698630136,0.9970501474926252,0.0914454277286135,0.9975200355026496,CAPTURE,CAPTURE,False,P1S1A1
1,0.25,0.5010324036529687,0.25,0.12,0.15,0.0428571428571428,0.1671641791044776,1.0,0.991044776119403,0.0955223880597015,0.9926754288260192,CAPTURE,CAPTURE,False,P1S1A1
3,0.25,0.5010324036529687,0.25,0.12,0.15,0.04,0.1666666666666666,1.0,0.9970238095238096,0.0982142857142857,0.9974932681405896,CAPTURE,CAPTURE,False,P1S1A1
4,0.25,0.5010324036529687,0.25,0.12,0.15,0.0771428571428571,0.1640866873065015,0.9859154929577464,0.9938080495356038,0.1021671826625387,0.9947857259247188,CAPTURE,CAPTURE,False,P1S1A1
5,0.25,0.5010324036529687,0.25,0.12,0.15,0.0371428571428571,0.1632047477744807,0.9857142857142858,0.9940652818991098,0.0919881305637982,0.9950690769488152,CAPTURE,CAPTURE,False,P1S1A1
2,0.25,0.5010324036529687,0.25,0.12,0.35,0.0314285714285714,0.1592920353982301,0.9863013698630136,0.952802359882006,0.0914454277286135,0.9604597941194386,CAPTURE,CAPTURE,False,P1S1A1
1,0.25,0.5010324036529687,0.25,0.12,0.35,0.0685714285714285,0.1595092024539877,1.0,0.9233128834355828,0.0889570552147239,0.9353099476833904,CAPTURE,CAPTURE,False,P1S1A1
3,0.25,0.5010324036529687,0.25,0.12,0.35,0.0628571428571428,0.1646341463414634,1.0,0.9329268292682928,0.0975609756097561,0.9437648720999404,CAPTURE,CAPTURE,False,P1S1A1
4,0.25,0.5010324036529687,0.25,0.12,0.35,0.08,0.1739130434782608,0.9852941176470588,0.9409937888198758,0.0993788819875776,0.9507059912812006,CAPTURE,CAPTURE,False,P1S1A1
5,0.25,0.5010324036529687,0.25,0.12,0.35,0.04,0.1666666666666666,1.0,0.9523809523809524,0.0892857142857142,0.9601757369614512,CAPTURE,CAPTURE,False,P1S1A1
2,0.25,0.5010324036529687,0.25,0.12,0.6,0.0314285714285714,0.1592920353982301,0.9863013698630136,0.8495575221238938,0.0914454277286135,0.8742092393905379,CAPTURE,CAPTURE,False,P1S1A1
1,0.25,0.5010324036529687,0.25,0.12,0.6,0.0742857142857142,0.1604938271604938,0.9863013698630136,0.8580246913580247,0.0895061728395061,0.8808108520042677,CAPTURE,CAPTURE,False,P1S1A1
3,0.25,0.5010324036529687,0.25,0.12,0.6,0.0628571428571428,0.1646341463414634,1.0,0.8262195121951219,0.0975609756097561,0.8544393218322427,CAPTURE,CAPTURE,False,P1S1A1
4,0.25,0.5010324036529687,0.25,0.12,0.6,0.1514285714285714,0.1515151515151515,1.0,0.8821548821548821,0.0909090909090909,0.8987858381797775,CAPTURE,CAPTURE,False,P1S1A1
5,0.25,0.5010324036529687,0.25,0.12,0.6,0.0685714285714285,0.147239263803681,1.0,0.8558282208588958,0.0889570552147239,0.8761714780383154,CAPTURE,CAPTURE,False,P1S1A1
1,0.55,0.0510324036529687,0.25,0.12,0.15,0.5171428571428571,0.0,0.0,1.0,0.1005917159763313,1.0,QUIET,QUIET,True,P1S1A1
3,0.55,0.0510324036529687,0.25,0.12,0.15,0.56,0.0,0.0,0.0,0.1103896103896103,0.0,QUIET,QUIET,False,P1S1A1
2,0.55,0.0510324036529687,0.25,0.12,0.15,0.5571428571428572,0.0,0.0,0.0,0.1096774193548387,0.0,QUIET,QUIET,False,P1S1A1
4,0.55,0.0510324036529687,0.25,0.12,0.15,0.3085714285714285,0.0785123966942148,1.0,0.9917355371900828,0.0867768595041322,0.9922819479543749,QUIET,QUIET,True,P1S1A1
5,0.55,0.0510324036529687,0.25,0.12,0.15,0.4714285714285714,0.0,0.0,1.0,0.0864864864864864,1.0,QUIET,QUIET,True,P1S1A1
1,0.55,0.0510324036529687,0.25,0.12,0.35,0.6285714285714286,0.0,0.0,0.0,0.1076923076923077,0.0,QUIET,QUIET,False,P1S1A1
2,0.55,0.0510324036529687,0.25,0.12,0.35,0.6085714285714285,0.0,0.0,0.0,0.1021897810218978,0.0,QUIET,QUIET,False,P1S1A1
3,0.55,0.0510324036529687,0.25,0.12,0.35,0.5628571428571428,0.0,0.0,0.0,0.1045751633986928,0.0,QUIET,QUIET,False,P1S1A1
4,0.55,0.0510324036529687,0.25,0.12,0.35,0.6028571428571429,0.0,0.0,0.0,0.1007194244604316,0.0,QUIET,QUIET,False,P1S1A1
5,0.55,0.0510324036529687,0.25,0.12,0.35,0.3714285714285714,0.059090909090909,1.0,0.9727272727272728,0.0818181818181818,0.9738429752066116,QUIET,QUIET,True,P1S1A1
1,0.55,0.0510324036529687,0.25,0.12,0.6,0.62,0.0,0.0,0.0,0.1052631578947368,0.0,QUIET,QUIET,False,P1S1A1
2,0.55,0.0510324036529687,0.25,0.12,0.6,0.6057142857142858,0.0,0.0,0.0,0.108695652173913,0.0,QUIET,QUIET,False,P1S1A1
3,0.55,0.0510324036529687,0.25,0.12,0.6,0.6085714285714285,0.0,0.0,0.0,0.1021897810218978,0.0,QUIET,QUIET,False,P1S1A1
4,0.55,0.0510324036529687,0.25,0.12,0.6,0.6428571428571429,0.0,0.0,0.0,0.104,0.0,QUIET,QUIET,False,P1S1A1
5,0.55,0.0510324036529687,0.25,0.12,0.6,0.4885714285714285,0.0,0.0,0.0,0.0893854748603352,0.0055865921787709,QUIET,QUIET,False,P1S1A1
1,0.55,0.2510324036529688,0.25,0.12,0.15,0.0542857142857142,0.1631419939577039,0.9855072463768116,0.9879154078549848,0.0966767371601208,0.989923421655516,CAPTURE,CAPTURE,False,P1S1A1
2,0.55,0.2510324036529688,0.25,0.12,0.15,0.02,0.1720116618075801,0.9857142857142858,0.9941690962099126,0.1020408163265306,0.9952230788191996,CAPTURE,CAPTURE,False,P1S1A1
3,0.55,0.2510324036529688,0.25,0.12,0.15,0.0742857142857142,0.1666666666666666,0.9859154929577464,0.9938271604938272,0.1080246913580246,0.9948940710257582,CAPTURE,CAPTURE,False,P1S1A1
4,0.55,0.2510324036529688,0.25,0.12,0.15,0.0428571428571428,0.1761194029850746,0.9857142857142858,0.9940298507462688,0.0985074626865671,0.994992203163288,CAPTURE,CAPTURE,False,P1S1A1
5,0.55,0.2510324036529688,0.25,0.12,0.15,0.0314285714285714,0.1622418879056047,0.9857142857142858,0.9852507374631267,0.0973451327433628,0.98781771825863,CAPTURE,CAPTURE,False,P1S1A1
1,0.55,0.2510324036529688,0.25,0.12,0.35,0.0514285714285714,0.1656626506024096,0.9850746268656716,0.9367469879518072,0.0933734939759036,0.9483687763100596,CAPTURE,CAPTURE,False,P1S1A1
2,0.55,0.2510324036529688,0.25,0.12,0.35,0.02,0.1720116618075801,0.9857142857142858,0.956268221574344,0.1020408163265306,0.963790597455142,CAPTURE,CAPTURE,False,P1S1A1
3,0.55,0.2510324036529688,0.25,0.12,0.35,0.0657142857142857,0.1773700305810397,0.9859154929577464,0.9510703363914372,0.1039755351681957,0.9601978883184168,CAPTURE,CAPTURE,False,P1S1A1
4,0.55,0.2510324036529688,0.25,0.12,0.35,0.0428571428571428,0.1761194029850746,0.9857142857142858,0.9611940298507464,0.0985074626865671,0.9684918690131432,CAPTURE,CAPTURE,False,P1S1A1
5,0.55,0.2510324036529688,0.25,0.12,0.35,0.0285714285714285,0.1647058823529411,1.0,0.9382352941176472,0.0911764705882352,0.9484083044982698,CAPTURE,CAPTURE,False,P1S1A1
1,0.55,0.2510324036529688,0.25,0.12,0.6,0.0828571428571428,0.1588785046728972,1.0,0.8785046728971962,0.0903426791277258,0.8974291786764492,CAPTURE,CAPTURE,False,P1S1A1
2,0.55,0.2510324036529688,0.25,0.12,0.6,0.02,0.1720116618075801,0.9857142857142858,0.880466472303207,0.1020408163265306,0.9017246215437444,CAPTURE,CAPTURE,False,P1S1A1
3,0.55,0.2510324036529688,0.25,0.12,0.6,0.0457142857142857,0.1646706586826347,0.9859154929577464,0.8892215568862275,0.1047904191616766,0.9081268600523504,CAPTURE,CAPTURE,False,P1S1A1
4,0.55,0.2510324036529688,0.25,0.12,0.6,0.0457142857142857,0.1646706586826347,0.9863013698630136,0.8622754491017964,0.0988023952095808,0.8866488579726773,CAPTURE,CAPTURE,False,P1S1A1
5,0.55,0.2510324036529688,0.25,0.12,0.6,0.0285714285714285,0.1647058823529411,1.0,0.8676470588235294,0.0911764705882352,0.8898356401384083,CAPTURE,CAPTURE,False,P1S1A1
1,0.55,0.5010324036529687,0.25,0.12,0.15,0.0542857142857142,0.1631419939577039,0.987012987012987,0.9879154078549848,0.0996978851963746,0.9897773842882048,CAPTURE,CAPTURE,False,P1S1A1
2,0.55,0.5010324036529687,0.25,0.12,0.15,0.0314285714285714,0.1710914454277286,0.9864864864864864,0.991150442477876,0.0973451327433628,0.9926384211762864,CAPTURE,CAPTURE,False,P1S1A1
