agent_id,exit_capacity,outside_ties,econ_independence,tenure,born_inside,punishment_received,punishment_delivered,is_enforcer,exited
160,0.7943885915064133,0.5887771830128267,1.0,166,True,0,1,False,False
161,0.7733467825531892,0.7052231977207731,0.8414703673856052,75,False,14,1,False,True
162,0.9913267293234483,0.9826534586468967,1.0,13,False,10,0,False,True
163,0.5173330984194767,0.30491672910459205,0.7297494677343613,205,False,80,4,False,True
164,0.7310423298461857,0.5955743150394707,0.8665103446529008,44,False,17,0,False,True
165,0.8189459324467027,0.7110267175867867,0.9268651473066186,96,False,25,0,False,True
166,0.7385193659125892,0.47703873182517836,1.0,336,True,0,1,False,True
167,0.7770077346310663,0.5540154692621326,1.0,450,False,0,0,False,False
168,0.6797990736295108,0.3595981472590215,1.0,230,True,1,0,False,False
169,0.6688605801780052,0.3377211603560105,1.0,450,False,1,2,False,False
170,0.7373710064596448,0.47474201291928975,1.0,158,True,0,0,False,True
171,0.5867032374044323,0.3036643949972261,0.8697420798116386,112,True,35,0,False,True
172,0.5763310822957894,0.2939956816832727,0.858666482908306,111,True,0,0,False,False
173,0.645728057407821,0.3516273755521122,0.9398287392635298,123,True,151,0,False,True
174,0.7764942368065695,0.5529884736131391,1.0,98,True,0,1,False,False
175,0.45076758487547686,0.20177598325688084,0.6997591864940729,70,True,0,0,False,False
176,0.9458874004264659,0.8917748008529317,1.0,84,False,5,1,False,True
177,0.5711682809463914,0.2591625243029428,0.88317403758984,137,True,68,0,False,True
178,0.8456347009877077,0.7402243148582704,0.9510450871171449,71,False,6,0,False,True
179,0.6792738369620676,0.3913278713646568,0.9672198025594784,119,True,45,0,False,True
180,0.7971549923747079,0.5943099847494159,1.0,450,False,2,3,False,False
181,0.698638199335686,0.719728611983694,0.6775477866876781,46,False,17,0,False,True
182,0.7348608561120784,0.4697217122241568,1.0,328,True,1,0,False,False
183,0.4422277038754083,0.20977427018542893,0.6746811375653876,46,True,21,0,False,False
184,0.7848231742651669,0.5696463485303338,1.0,450,False,0,1,False,False
185,0.9677705722224076,0.9355411444448152,1.0,319,False,1,0,False,True
186,0.7977357975600026,0.5954715951200052,1.0,432,False,1,2,False,True
187,0.7169749994418071,0.4339499988836143,1.0,149,True,0,2,False,False
188,0.5174055641477973,0.3360500790237413,0.6987610492718532,71,False,15,0,False,True
189,0.6221349963034983,0.5626429092792844,0.6816270833277122,109,False,1,0,False,True
190,0.914342591833327,0.8286851836666541,1.0,187,True,0,1,False,False
191,0.6170769244801219,0.3502986078290291,0.8838552411312146,100,True,0,1,False,False
192,0.8007280669608436,0.8203299966205695,0.7811261373011177,51,False,11,0,False,True
193,0.7838705819897018,0.5677411639794036,1.0,450,False,0,0,False,False
194,0.6652359746317328,0.4289721999583341,0.9014997493051315,78,True,96,0,False,True
195,0.7811205162343274,0.5622410324686549,1.0,83,True,0,0,False,False
196,0.7223584577283989,0.44471691545679787,1.0,173,True,0,1,False,True
197,0.9924828680362114,0.984965736072423,1.0,11,False,9,0,False,True
198,0.6924069510640611,0.3848139021281223,1.0,450,False,0,230,True,False
199,0.6792712714176731,0.3585425428353461,1.0,200,True,0,0,False,False
200,0.7656688882280843,0.5313377764561686,1.0,215,False,74,199,False,True
201,0.8403856164435353,0.7995449279667625,0.8812263049203081,43,False,1,0,False,True
202,0.7546830178487876,0.6523548050447425,0.8570112306528325,66,False,12,0,False,True
203,0.6089281701858191,0.482006497177801,0.7358498431938374,64,False,26,0,False,True
204,0.6017627535968333,0.29355609845173203,0.9099694087419345,134,True,42,0,False,True
205,0.7393114144887876,0.4786228289775752,1.0,193,True,0,0,False,False
206,0.7870372873591587,0.5740745747183172,1.0,102,False,0,0,False,True
207,0.7440852785821703,0.4881705571643406,1.0,104,True,1,0,False,True
208,0.6435199374684268,0.6060251384398432,0.6810147364970104,89,False,10,0,False,True
209,0.40224119425224636,0.16377460994203868,0.640707778562454,47,True,0,0,False,False
210,0.9157383353303228,0.8314766706606457,1.0,441,False,0,0,False,False
211,1.0,1.0,1.0,450,False,0,2,False,False
212,0.9116136229355325,0.886237994763385,0.93698925110768,70,False,13,0,False,True
213,0.36359786746137474,0.12488982749228013,0.6023059074304693,37,True,0,0,False,False
214,0.6379715073941062,0.4037274290227408,0.8722155857654716,74,True,36,1,False,True
215,0.9795297117575917,0.9590594235151835,1.0,450,False,1,0,False,False
216,0.6462797903979938,0.3962500564622834,0.896309524333704,119,False,1,0,False,True
217,1.0,1.0,1.0,450,False,2,0,False,False
218,0.798932266655128,0.735657455126901,0.8622070781833548,77,False,10,0,False,True
219,0.628214270085731,0.352028174454502,0.9044003657169601,108,True,2,0,False,False
220,0.6310630284834509,0.5475015361924558,0.7146245207744459,162,False,89,0,False,True
221,0.9532066437804891,0.9064132875609784,1.0,450,False,0,2,False,False
222,0.8725614730136679,0.745122946027336,1.0,386,False,3,1,False,True
223,0.359871763442193,0.12474208228374307,0.595001444600643,27,True,0,1,False,False
224,0.7578392373048841,0.6658489569001846,0.8498295177095837,68,False,5,0,False,True
225,0.9310564934774981,0.8621129869549963,1.0,323,False,1,0,False,True
226,0.8109917778905954,0.6219835557811908,1.0,450,False,4,0,False,False
227,1.0,1.0,1.0,450,False,3,0,False,False
228,1.0,1.0,1.0,450,False,0,1,False,False
229,0.9595100738820725,0.919020147764145,1.0,450,False,1,1,False,False
230,0.7979427204821179,0.5958854409642357,1.0,237,True,0,1,False,False
231,0.721897737432668,0.46153764344259735,0.9822578314227388,100,True,34,0,False,True
232,1.0,1.0,1.0,450,False,0,2,False,False
