t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,pi_reward,lam_punish
369,0.9819587935201795,0.39591595659410406,0.41038402184658496,0.5039403106588192,0.246879425001856,0.40537383495917245,0.2222222222222222,0.561754383558782,0.5531707388094509,0.4444444444444444,0.005714285714285714,0.36422159728601367,0.33849456050253846,0.025714285714285714,0.0,0.0,0.9742857142857143,14.045714285714286,0.0,0.0,0.2770126436226594,0.08693547931387462,0.0,0.024342717139321204,0.04751929964270851,0.1646056302835927,0.1111111111111111,0,0.00888609806641676,0.0,0.0004230538931075835,0.0,0.0,0.0,0.5048685434278642,0.25486854342786425
370,0.9860705750369154,0.3994954594060494,0.410489753371301,0.5041650488387016,0.246879425001856,0.4058154018613921,0.6666666666666666,0.561754383558782,0.5531707388094509,0.4444444444444444,0.017142857142857144,0.36422159728601367,0.33849456050253846,0.025714285714285714,0.0,0.0,0.9742857142857143,14.045714285714286,0.0,0.0,0.2776666106382727,0.0868584054089295,0.0,0.023612435625141568,0.04612712511470596,0.16416746137508492,0.1111111111111111,0,0.008841667576084676,0.0,0.0004145928152454318,0.0,0.0,0.0,0.5047224871250283,0.2547224871250283
371,0.9823299182685842,0.39723402197378777,0.410393565054401,0.5043706481004564,0.246879425001856,0.406253181740127,0.3333333333333333,0.561754383558782,0.5531707388094509,0.4444444444444444,0.008571428571428572,0.36422159728601367,0.33849456050253846,0.025714285714285714,0.0,0.0,0.9742857142857143,14.045714285714286,0.0,0.0,0.2783014865040099,0.08678364372113273,0.0,0.02290406255638732,0.04477477165897081,0.16374243753383239,0.1111111111111111,0,0.008797459238204252,0.0,0.0004063009589405232,0.0,0.0,0.0,0.5045808125112775,0.25458081251127745
372,0.9815385021111547,0.4023356370921456,0.41037321435321,0.5043988440576888,0.246879425001856,0.40641896110270265,0.3333333333333333,0.561754383558782,0.5531707388094509,0.4444444444444444,0.008571428571428572,0.36422159728601367,0.33849456050253846,0.025714285714285714,0.0,0.0,0.9742857142857143,14.045714285714286,0.0,0.0,0.27891781029504475,0.08671112488396986,0.0,0.0222169406796957,0.043461156949179625,0.16333016440781742,0.1111111111111111,0,0.008753471942013232,0.0,0.0003981749397617127,0.0,0.0,0.0,0.5044433881359391,0.25444338813593914
373,0.9803457646516688,0.40148846678285227,0.41034254396139463,0.5059040573546388,0.246879425001856,0.4065188961767926,0.2222222222222222,0.561754383558782,0.5531707388094509,0.4444444444444444,0.005714285714285714,0.36422159728601367,0.33849456050253846,0.025714285714285714,0.0,0.0,0.9742857142857143,14.045714285714286,0.0,0.0,0.2795161071157911,0.08664078161192187,0.0,0.021550432459304828,0.042185224714760716,0.1629302594755829,0.1111111111111111,0,0.008709704582303164,0.0,0.0003902114409664784,0.0,0.0,0.0,0.5043100864918609,0.254310086491861
374,0.9944496666068114,0.40060890391638104,0.41070521572595553,0.5058286563861712,0.246879425001856,0.4066435415165286,0.2222222222222222,0.561754383558782,0.5531707388094509,0.4444444444444444,0.005714285714285714,0.36422159728601367,0.33849456050253846,0.025714285714285714,0.0,0.0,0.9742857142857143,14.045714285714286,0.0,0.0,0.2800968883707404,0.08657254863803533,0.0,0.020903919485525682,0.040945944319172756,0.1625423516913154,0.1111111111111111,0,0.008666156059391649,0.0,0.00038240721214714883,0.0,0.0,0.0,0.5041807838971052,0.25418078389710513
375,0.9896681358010514,0.3971168232042457,0.4105822620766645,0.50605988010145,0.246879425001856,0.4070089047992832,0.2222222222222222,0.561754383558782,0.5531707388094509,0.4444444444444444,0.005714285714285714,0.36422159728601367,0.33849456050253846,0.025714285714285714,0.0,0.0,0.9742857142857143,14.045714285714286,0.0,0.0,0.28066065203748036,0.08650636265336539,0.0,0.02027680190095991,0.03974231033118736,0.16216608114057593,0.1111111111111111,0,0.00862282527909469,0.0,0.0003747590679042058,0.0,0.0,0.0,0.5040553603801919,0.254055360380192
376,0.9892716290798221,0.4030924814602516,0.41057206618954717,0.5059855476967655,0.246879425001856,0.4070484356050972,0.5555555555555556,0.561754383558782,0.5531707388094509,0.4444444444444444,0.014285714285714285,0.36422159728601367,0.33849456050253846,0.025714285714285714,0.0,0.0,0.9742857142857143,14.045714285714286,0.0,0.0,0.2812078829410901,0.08644216224823555,0.0,0.019668497843931113,0.03857334209041252,0.16180109870635867,0.1111111111111111,0,0.008579711152699218,0.0,0.0003672638865461217,0.0,0.0,0.0,0.5039336995687862,0.2539336995687862
377,0.9949766765157508,0.4040443607669636,0.4107187674093283,0.5059416206348389,0.246879425001856,0.4076472919149215,0.5555555555555556,0.561754383558782,0.5531707388094509,0.4444444444444444,0.014285714285714285,0.36422159728601367,0.33849456050253846,0.025714285714285714,0.0,0.0,0.9742857142857143,14.045714285714286,0.0,0.0,0.281739053029188,0.08637988785525959,0.0,0.01907844290861318,0.03743808326820253,0.1614470657451679,0.1111111111111111,0,0.00853681259693572,0.0,0.0003599186088151993,0.0,0.0,0.0,0.5038156885817227,0.25381568858172265
378,0.9908950631102856,0.4032861310298753,0.4106138116360449,0.5063198108521514,0.246879425001856,0.40868735942250745,0.6666666666666666,0.561754383558782,0.5531707388094509,0.4444444444444444,0.017142857142857144,0.36422159728601367,0.33849456050253846,0.025714285714285714,0.0,0.0,0.9742857142857143,14.045714285714286,0.0,0.0,0.28225462164697707,0.08631948169407291,0.0,0.018506089621354783,0.03633560142501968,0.16110365377281285,0.1111111111111111,0,0.008494128533951041,0.0,0.0003527202366388952,0.0,0.0,0.0,0.5037012179242709,0.25370121792427097
