sigma,pi_reward,alpha,delta,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.75,0.25,0.0,0.4,5,MIXED,0,0,5,0,0.1359649122807017,0.36,0.7918238993710692,0.16,0.9695698074415882
0.75,0.5,0.0,0.4,5,MIXED,0,0,5,0,0.1447963800904977,0.3514285714285714,0.7890469755981242,0.1628571428571428,0.9681172010991026
0.95,0.05,0.0,0.4,5,MIXED,0,0,5,0,0.0954356846473029,0.2857142857142857,0.7924491583146833,0.1314285714285714,0.9750773383906715
0.95,0.25,0.0,0.4,5,MIXED,0,0,5,0,0.1214574898785425,0.2942857142857142,0.7563633649324476,0.1342857142857142,0.972188681981974
0.95,0.5,0.0,0.4,5,MIXED,0,0,5,0,0.1294117647058823,0.2714285714285714,0.7642337976983646,0.1285714285714285,0.9738806214977613
0.25,0.05,0.0,0.6,5,QUIET,0,0,0,5,0.0,0.04,0.6742131419105467,0.0485714285714285,0.7005531486906433
0.25,0.25,0.0,0.6,5,MIXED,0,0,5,0,0.0954545454545454,0.3714285714285714,0.8440359409776605,0.1314285714285714,0.9666786300873431
0.25,0.5,0.0,0.6,5,MIXED,0,0,5,0,0.1256281407035175,0.4085714285714286,0.8213565109421077,0.1742857142857143,0.9570206375621738
0.75,0.05,0.0,0.6,5,MIXED,0,0,5,0,0.095617529880478,0.3228571428571428,0.8413266895048271,0.1485714285714285,0.9728301995303451
0.75,0.25,0.0,0.6,5,MIXED,0,0,5,0,0.1379310344827586,0.3228571428571428,0.7949507002449288,0.1685714285714285,0.9750599102717231
0.75,0.5,0.0,0.6,5,MIXED,0,0,5,0,0.1391304347826087,0.3371428571428571,0.7980950069768853,0.1657142857142857,0.9751009145990834
0.95,0.05,0.0,0.6,5,MIXED,0,0,5,0,0.089605734767025,0.2657142857142857,0.7878600185816043,0.1314285714285714,0.9794922055560789
0.95,0.25,0.0,0.6,5,MIXED,0,0,5,0,0.1240875912408759,0.2657142857142857,0.7554308826407463,0.1485714285714285,0.9767672988934472
0.95,0.5,0.0,0.6,5,MIXED,0,0,5,0,0.125,0.2571428571428571,0.7589166507724585,0.14,0.9778006008215863
0.25,0.05,0.2,0.0,5,QUIET,0,0,0,5,0.0031948881789137,0.1057142857142857,0.6745702430349734,0.0485714285714285,0.6876091049871538
0.25,0.25,0.2,0.0,5,MIXED,0,0,5,0,0.0945273631840796,0.4085714285714286,0.8305903398926655,0.12,0.8285733547325932
0.25,0.5,0.2,0.0,5,MIXED,0,0,5,0,0.1225490196078431,0.4171428571428571,0.8041395170563435,0.1657142857142857,0.7605212798764236
0.75,0.05,0.2,0.0,5,MIXED,0,0,5,0,0.094017094017094,0.3314285714285714,0.8170274771024146,0.1314285714285714,0.8362531111672254
0.75,0.25,0.2,0.0,5,MIXED,0,0,5,0,0.1306306306306306,0.38,0.8119667123143369,0.1485714285714285,0.9652314249636256
