template,grid,n_seeds,sigma_max,pi_max,sigma_cell,pi_cell,regime_majority,n_QUIET,n_MIXED,n_COLLAPSE,n_CAPTURE,median_exit_rate,median_max_apr,median_top5_share,median_enforcer_share
T5,3,30,0.4,0.4,0.35000000000000003,0.32000000000000006,MIXED,0,30,0,0,0.8,0.1406176442896149,0.3358186746775878,0.29101762691162425
T5,4,30,0.4,0.4,0.4,0.4,MIXED,0,30,0,0,0.7771428571428571,0.1664137861736334,0.3251590176166228,0.3086584364452687
T6,0,30,0.55,0.15,0.275,0.03,QUIET,30,0,0,0,0.8557142857142856,0.0514285714285714,0.29028812541930016,0.23286249832641587
T6,1,30,0.55,0.15,0.34375,0.06,QUIET,30,0,0,0,0.8342857142857143,0.06383159324335791,0.3324768020797247,0.2390010852903991
T6,2,30,0.55,0.15,0.41250000000000003,0.09000000000000001,QUIET,22,8,0,0,0.7928571428571429,0.09504704875962355,0.28907316717944986,0.240639078888867
T6,3,30,0.55,0.15,0.48125000000000007,0.12,MIXED,4,26,0,0,0.7442857142857142,0.10834460646989269,0.3259494081114365,0.33081278901087785
T6,4,30,0.55,0.15,0.55,0.15,MIXED,0,30,0,0,0.6742857142857143,0.1410649677520843,0.3085541825079698,0.39849528461280637
T7,0,30,0.2,0.05,0.1,0.010000000000000002,COLLAPSE,12,0,18,0,0.9,0.0542857142857142,0.2859201080155437,0.16671488583629399
T7,1,30,0.2,0.05,0.125,0.020000000000000004,QUIET,18,0,12,0,0.8957142857142857,0.0514285714285714,0.2861111111111111,0.17433516251582948
T7,2,30,0.2,0.05,0.15000000000000002,0.030000000000000006,QUIET,18,0,12,0,0.8942857142857142,0.0542857142857142,0.27615783556377616,0.17909829852243175
T7,3,30,0.2,0.05,0.17500000000000002,0.04000000000000001,QUIET,23,0,7,0,0.8857142857142857,0.0514285714285714,0.28119197364480386,0.17156092772119277
T7,4,30,0.2,0.05,0.2,0.05,QUIET,26,0,4,0,0.8885714285714286,0.0514285714285714,0.27527120541860167,0.18865084985835695
T8,0,30,0.45,0.25,0.225,0.05,QUIET,28,0,2,0,0.88,0.0514285714285714,0.2833205521472393,0.2116554054054054
T8,1,30,0.45,0.25,0.28125,0.1,QUIET,22,8,0,0,0.8528571428571429,0.08751337999176609,0.2871538007182174,0.17197395493797069
T8,2,30,0.45,0.25,0.3375,0.15000000000000002,QUIET,21,9,0,0,0.8285714285714286,0.0942857142857142,0.3307618921519717,0.2524553081672953
T8,3,30,0.45,0.25,0.39375,0.2,MIXED,1,29,0,0,0.7857142857142857,0.1294128841944999,0.3547581824749655,0.29718087397693005
T8,4,30,0.45,0.25,0.45,0.25,MIXED,0,30,0,0,0.7571428571428571,0.15448083269865445,0.3239056116288629,0.33595032285539994
