agent_id,exit_capacity,outside_ties,econ_independence,tenure,born_inside,punishment_received,punishment_delivered,is_enforcer,exited
152,0.8287131832643424,0.8314628098614856,0.8259635566671993,229,True,1,1,False,True
153,0.7203488089630343,0.7502497626494607,0.6904478552766079,433,False,1,0,False,True
154,0.575629454624994,0.5387617384217827,0.6124971708282055,306,True,1,0,False,False
155,0.999548958514334,1.0,0.9990979170286681,243,True,0,1,False,False
156,0.986170944943048,0.9987228578284811,0.973619032057615,14,False,10,0,False,True
157,0.5231006299201141,0.4354869754203482,0.61071428441988,115,True,28,0,False,True
158,0.9064681529665132,0.9406435778476356,0.8722927280853907,75,False,0,0,False,False
159,0.354955589369074,0.22735990172574136,0.4825512770124067,98,True,0,0,False,False
160,0.9414477474446221,1.0,0.8828954948892442,450,False,0,2,False,False
161,0.47310861336418963,0.42258609635555316,0.5236311303728262,382,True,0,1,False,False
162,0.7834798980499169,0.7899343413619988,0.7770254547378349,164,False,1,1,False,True
163,0.8314873532436029,0.8494260280223764,0.8135486784648295,342,True,1,0,False,False
164,0.6397278440087673,0.5969270616922884,0.682528626325246,41,False,21,0,False,True
165,0.5900170179025049,0.6267468616174492,0.5532871741875607,54,False,14,0,False,True
166,0.5528211045015934,0.45807768531700865,0.6475645236861781,84,True,53,0,False,True
167,0.7874779556735577,0.7997580139295205,0.7751978974175949,381,True,0,0,False,False
168,0.3043396968241775,0.2218949589597044,0.38678443468865065,410,True,0,2,False,False
169,0.958956776156459,0.9929756488477031,0.9249379034652149,53,False,18,0,False,True
170,0.6122924073850093,0.6104185381833069,0.6141662765867116,450,False,0,2,False,False
171,0.8720877765584811,0.9017069213331129,0.8424686317838493,85,False,2,0,False,False
172,0.7352394238663477,0.7609043274449538,0.7095745202877415,450,False,0,0,False,False
173,0.8336528920534539,0.9076604680916267,0.7596453160152812,299,False,165,415,False,True
174,0.556114930370984,0.48542174380355435,0.6268081169384137,147,True,30,0,False,True
175,0.6992494787211418,0.7201531848284073,0.6783457726138763,450,False,0,0,False,False
176,0.4250405079693709,0.3083687189110124,0.5417122970277294,91,True,0,0,False,False
177,0.5607379556076777,0.5476181335302632,0.573857777685092,450,False,0,0,False,False
178,0.7026291982328318,0.7436654265753426,0.6615929698903209,67,False,9,0,False,True
179,0.7325062523276199,0.7507130575087333,0.7142994471465065,450,False,0,0,False,False
180,0.5954351950388469,0.5943099847494159,0.5965604053282779,450,False,0,2,False,False
181,0.6263534238372055,0.7218220602317024,0.5308847874427087,39,False,12,0,False,True
182,0.2985881657153685,0.08172765351585262,0.5154486779148844,14,True,0,0,False,False
183,0.3176601584876412,0.11645291338886771,0.5188674035864146,22,True,0,0,False,False
184,0.5804670234691658,0.5696463485303338,0.5912876984079979,450,False,0,151,True,False
