eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share,median_final_delta
0.2,0.2,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1299349942141447,0.3057142857142857,0.7795785392001263,0.134893945824763,0.9689655377476172,0.4583836155612365
0.2,0.3,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.04428571428571425,0.42623728336150046,0.04999999999999995,0.4416147786550064,0.3
0.2,0.3,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.09430934177384476,0.4114285714285714,0.8229068020035695,0.13150375939849618,0.7570157198110594,0.5709696794042027
0.2,0.3,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.12471198156682026,0.4157142857142857,0.8072464866381203,0.1708787851468982,0.7459211102934412,0.5671081338366654
0.2,0.3,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09976303317535545,0.35857142857142854,0.8226934729798758,0.14736397635420434,0.9212861276972852,0.5634607190450869
0.2,0.3,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13700878409616268,0.3985714285714286,0.7993246068429936,0.1610063716505193,0.9562192568489416,0.5603219548525683
0.2,0.3,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1452285921625544,0.3914285714285714,0.8121291677102878,0.1686501160295985,0.9639755831194258,0.5600090332736684
0.2,0.3,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09297220656314589,0.30857142857142855,0.7953440825373904,0.1301553168313112,0.9631636259804514,0.5610194025957358
0.2,0.3,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.12904065040650403,0.30999999999999994,0.7784320131971345,0.13678508370540865,0.9692939973119656,0.5583770595609951
0.2,0.3,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.13541178309110796,0.3085714285714285,0.7752684553254166,0.1350108438485804,0.9688444668923453,0.5589879531612719
0.3,0.1,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.04428571428571425,0.42700168678393835,0.04999999999999995,0.44055535619040287,0.1
0.3,0.1,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.09262125902992771,0.40428571428571425,0.8146949168305557,0.1289398280802292,0.7491784992716357,0.36343888267644686
0.3,0.1,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.12410277130769595,0.42428571428571427,0.796562906985338,0.17161062325979864,0.7299778769591143,0.3689668608201519
0.3,0.1,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.1002283105022831,0.3571428571428571,0.8197136119402659,0.14503841706762144,0.8972966189180769,0.36049239497680835
0.3,0.1,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13928615843800518,0.39285714285714285,0.8119145408186552,0.1607453416149068,0.9564704195360096,0.3596562940779836
0.3,0.1,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.14649974450689826,0.3914285714285714,0.8121421158276153,0.1671734208215886,0.963818132005896,0.3606060738187177
0.3,0.1,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09381705764684485,0.3085714285714285,0.7910741158285837,0.13111262011292701,0.9604732806215741,0.3586356426682983
0.3,0.1,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1312417528995069,0.3157142857142857,0.7797994350156734,0.1358024691358024,0.9699389286560982,0.3570549242994365
0.3,0.1,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.13037280701754378,0.3114285714285714,0.7783939673529282,0.13516001132823555,0.9696871183634261,0.35642588160943334
0.3,0.2,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.04428571428571425,0.42797426757268575,0.04999999999999995,0.44411783912147285,0.2
0.3,0.2,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.09484769157544021,0.4085714285714286,0.8238188221003967,0.1331219090507016,0.7668293004092432,0.46247932477766496
0.3,0.2,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.124043350280974,0.42428571428571427,0.804637273752318,0.17145981185014025,0.7417869079864785,0.4640410445774471
0.3,0.2,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.1,0.3714285714285714,0.8249935980419205,0.14466201173851445,0.9109978466546305,0.4621319315754555
0.3,0.2,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.14182175471043806,0.39428571428571424,0.8062014321668347,0.1609042553191489,0.9558963085977951,0.45929019337565336
0.3,0.2,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.14884355509355507,0.3914285714285714,0.8125219977307632,0.16983804665445,0.9639886636484636,0.4583965879451338
0.3,0.2,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.094944150499706,0.3142857142857143,0.7937086145416744,0.13111262011292701,0.9603362368317829,0.4607561675044636
0.3,0.2,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13135829069036714,0.3142857142857143,0.7812236981192285,0.13546880213546875,0.9698223932448258,0.4572361930447753
0.3,0.2,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1285723808095452,0.3057142857142857,0.7789904756813717,0.13486712035129333,0.9689095561041925,0.45643489369410456
0.3,0.3,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.04428571428571425,0.42623728336150046,0.04999999999999995,0.4416147786550064,0.3
0.3,0.3,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.09336665700763055,0.4114285714285714,0.8200731409578754,0.1343272087138299,0.7579199713593618,0.5663031699705887
0.3,0.3,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.12471198156682026,0.4157142857142857,0.8077617074718195,0.17143029973081692,0.7459211102934412,0.5632959334807472
0.3,0.3,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09976303317535545,0.36,0.8226934729798758,0.14736397635420434,0.9212861276972852,0.5598400748471168
0.3,0.3,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13526885735623595,0.3928571428571428,0.7993246068429936,0.1610063716505193,0.9568862347248426,0.5567742031384093
0.3,0.3,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1438313313313313,0.3914285714285714,0.8106588954302676,0.1686501160295985,0.9628235912625167,0.5576678874219034
0.3,0.3,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09297220656314589,0.30857142857142855,0.7953440825373904,0.1301553168313112,0.9626070205264818,0.5588057691073802
0.3,0.3,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13071861650819894,0.30999999999999994,0.7766086577505102,0.13678508370540865,0.9692939973119656,0.5560374515338259
0.3,0.3,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.13458371925491402,0.3071428571428571,0.775027009380842,0.1357245784164816,0.9689176425958285,0.5550022639094794
