seed,run_dir,final_exit_rate,final_prevalence_active,max_punish_rate,top5_punish_share,top10_punish_share,enforcer_punish_share,literalism_enrichment_d,regime,fallback_drop_t
16,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_16,0.3714285714285714,0.1545454545454545,0.1485714285714285,0.7956530176596157,0.9776829031632059,0.7922569377061905,1.8083342686606898,MIXED,33.0
17,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_17,0.4171428571428571,0.1568627450980392,0.1542857142857142,0.8003651856360317,0.9763846622032867,0.7317102860620815,2.159348803155645,MIXED,39.0
18,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_18,0.3714285714285714,0.1318181818181818,0.1514285714285714,0.8312831283128312,0.9797979797979798,0.7947794779477948,2.693066552602318,MIXED,35.0
19,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_19,0.4085714285714286,0.1497584541062802,0.1371428571428571,0.7963860286694933,0.9777912376337573,0.7559055118110236,2.335627438578016,MIXED,23.0
20,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_20,0.4571428571428571,0.1526315789473684,0.1485714285714285,0.791975240411186,0.9802144357245496,0.6833204377141594,2.357252913249156,MIXED,62.0
21,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_21,0.3942857142857143,0.1367924528301886,0.1342857142857142,0.7952636282394996,0.9800714924039321,0.7589812332439678,2.3604507404307555,MIXED,35.0
22,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_22,0.4257142857142857,0.154228855721393,0.1571428571428571,0.8189204229271008,0.9760712298274903,0.7151919866444073,2.2799206986919076,MIXED,49.0
23,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_23,0.3914285714285714,0.136150234741784,0.1428571428571428,0.7844784478447845,0.976997699769977,0.7534753475347534,2.1458964467385124,MIXED,36.0
24,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_24,0.3942857142857143,0.1509433962264151,0.1485714285714285,0.8048045534443793,0.9824223654473927,0.7693144722524483,2.7016073338195,MIXED,24.0
25,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_25,0.4028571428571428,0.1483253588516746,0.1485714285714285,0.8039340101522843,0.9767343485617598,0.7262055837563451,1.979308837322406,MIXED,31.0
26,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_26,0.3742857142857143,0.1141552511415525,0.1371428571428571,0.8300675675675676,0.9778153153153153,0.8061936936936936,2.278552678859005,MIXED,27.0
27,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_27,0.3685714285714285,0.1583710407239819,0.1657142857142857,0.7812356979405034,0.9768878718535469,0.777116704805492,2.392702595569839,MIXED,28.0
28,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_28,0.3514285714285714,0.1233480176211453,0.1628571428571428,0.7899906454630495,0.974976613657624,0.7730355472404116,2.26386135764272,MIXED,35.0
