sigma,pi_reward,base_opp,exit_threshold,n_seeds,regime_majority_legacy,regime_majority_hier,n_collapse_legacy,n_capture_legacy,n_mixed_legacy,n_quiet_legacy,n_collapse_hier,n_capture_hier,n_mixed_hier,n_quiet_hier,median_fund_prevalence,median_exit_rate,median_max_punish,median_enforcer_punish_share,median_top5_share
0.95,0.05,1.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.0905172413793103,0.3142857142857143,0.1181818181818181,0.9297336856168852,0.8008273009307135
0.95,0.05,1.5,1.5,5,MIXED,MIXED,0,0,3,2,0,0,3,2,0.0952380952380952,0.5571428571428572,0.1135135135135135,0.9115983804480784,0.9459783913565426
0.95,0.05,3.0,-1.0,5,MIXED,MIXED,0,0,3,2,0,0,3,2,0.0913043478260869,0.3228571428571428,0.1019108280254776,0.9288766131570388,0.8000968054211036
0.95,0.05,3.0,1.5,5,QUIET,QUIET,0,0,2,3,0,0,2,3,0.0924369747899159,0.6628571428571428,0.0937499999999998,0.8321142081142071,0.9229957805907172
0.95,0.05,5.0,-1.0,5,MIXED,MIXED,0,0,3,2,0,0,3,2,0.0942622950819672,0.3085714285714285,0.1114649681528662,0.9357711968643734,0.8074788902291918
0.95,0.05,5.0,1.5,5,QUIET,QUIET,0,0,2,3,0,0,2,3,0.087378640776699,0.6742857142857143,0.0977443609022555,0.8703462167809983,0.935515873015873
0.95,0.25,0.3,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1148936170212766,0.3171428571428571,0.1355421686746987,0.9707293326466576,0.7966000596480763
0.95,0.25,0.3,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1205357142857142,0.3885714285714285,0.125461254612546,0.9610962453125804,0.8922919857069934
0.95,0.25,1.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.128099173553719,0.3257142857142857,0.1208459214501509,0.9619955563231212,0.819371727748691
0.95,0.25,1.5,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1071428571428571,0.5228571428571429,0.1132075471698112,0.9104160412840544,0.9367816091954024
0.95,0.25,3.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1228813559322034,0.3371428571428571,0.1168384879725085,0.959655106387247,0.8479113384484228
0.95,0.25,3.0,1.5,5,MIXED,MIXED,0,0,4,1,0,0,4,1,0.099236641221374,0.6257142857142857,0.1025641025641024,0.934547398047397,0.9495481927710844
0.95,0.25,5.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1188524590163934,0.3171428571428571,0.106060606060606,0.9593686033823716,0.8496056091148115
0.95,0.25,5.0,1.5,5,QUIET,QUIET,0,0,2,3,0,0,2,3,0.1071428571428571,0.6714285714285714,0.0872093023255812,0.8938404140591631,0.9327586206896552
0.95,0.5,0.3,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1285140562248996,0.2971428571428571,0.1405750798722044,0.9673822601016208,0.782783326096396
0.95,0.5,0.3,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.12,0.3628571428571429,0.1326164874551971,0.9641362446272216,0.8880027739251041
0.95,0.5,1.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.125,0.3171428571428571,0.1167664670658682,0.9640106099809478,0.8070553539019963
0.95,0.5,1.5,1.5,5,MIXED,MIXED,0,0,4,1,0,0,4,1,0.1213872832369942,0.5514285714285714,0.1203703703703702,0.9242265797985552,0.9516843971631206
0.95,0.5,3.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1298701298701298,0.34,0.1117824773413897,0.9612942770703584,0.8486646884272997
0.95,0.5,3.0,1.5,5,MIXED,MIXED,0,0,4,1,0,0,4,1,0.1203703703703703,0.6342857142857142,0.1192052980132449,0.9320788771069792,0.945358788676761
0.95,0.5,5.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1228070175438596,0.3171428571428571,0.1092150170648463,0.9581430090696612,0.8393255295429208
0.95,0.5,5.0,1.5,5,MIXED,MIXED,0,0,4,1,0,0,4,1,0.1346153846153846,0.6828571428571428,0.1205673758865246,0.932981102402154,0.9485407066052228
