t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,pi_reward,lam_punish
112,0.9525096579190133,0.5061822996408246,0.9199694666191005,0.5047087369710289,0.26040296497001675,0.5010507374366218,0.7331081081081081,0.3641795692105566,0.3900818340627886,0.08445945945945946,0.62,0.3585388344799709,0.3749396138492549,0.07714285714285714,0.09142857142857143,0.11142857142857143,0.15428571428571428,8.28,0.09121621621621621,0.005714285714285714,0.03060409896647467,0.12591563956352295,8.20945945945946,0.07153014030880801,0.13329817800035182,0.1929180841852848,0.08108108108108109,0,0.1772379679629209,0.24861131319042248,5.035372320013944,0.9927091111018864,0.0,1.0,0.0,0.0,0.06430602806176161,0.2643060280617616
113,0.9531309048184545,0.5052314326724285,0.9204948639969137,0.5037500404501413,0.26040296497001675,0.5005034593357774,0.7027027027027027,0.3640444340754214,0.38998048271143726,0.08445945945945946,0.5942857142857143,0.3584245487656852,0.3748538995635406,0.07714285714285714,0.08571428571428572,0.11714285714285715,0.15428571428571428,8.348571428571429,0.09121621621621621,0.0,0.030894301722065077,0.12568916085108836,8.20945945945946,0.06938423609954376,0.1295704662338868,0.19163054165972626,0.08108108108108109,0,0.17735149240882062,0.24736825662447035,5.051807730756522,0.9876700260982056,0.0,0.975609756097561,0.0,0.0,0.06387684721990876,0.26387684721990873
114,0.9524485580356957,0.5051486538305937,0.9199177935749234,0.5037468773833749,0.26040296497001675,0.49995056845251584,0.6790540540540541,0.36390929894028634,0.38987913136008595,0.08445945945945946,0.5742857142857143,0.3583102630513995,0.3747681852778263,0.07714285714285714,0.08285714285714285,0.10857142857142857,0.15428571428571428,8.42,0.09121621621621621,0.0,0.031101666135049305,0.1254694765000268,8.20945945945946,0.06730270901655745,0.1259392677435177,0.19038162540993447,0.08108108108108109,0,0.1773787349467765,0.246131415341348,5.05934300471282,0.9820000000000004,0.0,0.9736842105263158,0.0,0.0,0.0634605418033115,0.26346054180331147
115,0.952184732904936,0.5047930694238857,0.9197047938294444,0.5036123845519235,0.26040296497001675,0.4994629521409847,0.6666666666666666,0.36401431277453594,0.3888309914790209,0.08503401360544217,0.56,0.35825312019425665,0.3747253281349691,0.07714285714285714,0.09428571428571429,0.12285714285714286,0.16,8.505714285714285,0.09183673469387756,0.005714285714285714,0.03135101878036478,0.1252563826794971,8.149659863945578,0.06528362774606072,0.12240253228570042,0.1891701766476364,0.08163265306122448,0,0.1775768412720426,0.24490075826464128,5.081013287475706,0.9820000000000004,0.0,0.9767441860465116,0.0,0.0,0.06305672554921216,0.26305672554921217
116,0.9563228728767317,0.5041814038588196,0.9205407410850597,0.5031188027643778,0.26040296497001675,0.4989405940463861,0.7285223367697594,0.36339039763879244,0.3890362824185571,0.0859106529209622,0.6057142857142858,0.35825312019425665,0.3747253281349691,0.07714285714285714,0.08571428571428572,0.10571428571428572,0.16857142857142857,8.571428571428571,0.07903780068728522,0.008571428571428572,0.031777270745048984,0.1250496816735833,7.731958762886598,0.0633251189136789,0.11895822620206453,0.18799507134820734,0.08247422680412371,0,0.17720309992282526,0.24367625447331806,5.085107307440477,0.9623600000000003,0.0,1.0,0.0,0.0,0.06266502378273578,0.26266502378273576
117,0.9581493077906031,0.5042267951028689,0.9212904504843185,0.5029392738535411,0.26040296497001675,0.4983097658210962,0.7923875432525952,0.3654731985499354,0.3911979454175635,0.08650519031141868,0.6542857142857142,0.35825312019425665,0.3747253281349691,0.07714285714285714,0.07714285714285714,0.11142857142857143,0.1742857142857143,8.642857142857142,0.07612456747404844,0.005714285714285714,0.032088992693951025,0.12484918169784695,7.695501730103806,0.06142536534626853,0.1156043341628803,0.1868552192077611,0.07958477508650519,0,0.17691637085178258,0.24245787320095147,5.0948337327202395,0.9431128000000003,0.0,1.0,0.0,0.0,0.06228507306925371,0.2622850730692537
118,0.956235734691282,0.503567533323702,0.9197103858394504,0.5026368674275002,0.26040296497001675,0.49775869002562695,0.7577854671280276,0.3654731985499354,0.3911979454175635,0.08650519031141868,0.6257142857142857,0.35825312019425665,0.3747253281349691,0.07714285714285714,0.06571428571428571,0.09142857142857143,0.1742857142857143,8.714285714285714,0.07612456747404844,0.0,0.03230146001916002,0.12465469672138264,7.695501730103806,0.05958260438588047,0.11233886075915511,0.18574956263152828,0.07958477508650519,0,0.1764886461403808,0.2412455838349467,5.084365629494406,0.9242505440000003,0.0,1.0,0.0,0.0,0.0619165208771761,0.2619165208771761
119,0.9583225692135618,0.5030818750595258,0.9214335149164189,0.5019976705526185,0.26040296497001675,0.49715520132932095,0.7474048442906575,0.3654731985499354,0.3911979454175635,0.08650519031141868,0.6171428571428571,0.35825312019425665,0.3747253281349691,0.07714285714285714,0.08285714285714285,0.11142857142857143,0.1742857142857143,8.788571428571428,0.07612456747404844,0.0,0.03249867779260356,0.12446604629421225,7.695501730103806,0.05779512625430405,0.10915983195114243,0.1846770757525824,0.07958477508650519,0,0.17626234648110747,0.24003935591577197,5.09410688833309,0.9057655331200002,0.0,1.0,0.0,0.0,0.061559025250860815,0.26155902525086083
120,0.9578642860613596,0.5024220212548275,0.9210251701307653,0.5011285427413376,0.26040296497001675,0.4965068449117651,0.7256944444444444,0.36503539341633984,0.39131420709304543,0.08680555555555555,0.5971428571428572,0.3580816916228281,0.37459675670639775,0.07714285714285714,0.07142857142857142,0.09714285714285714,0.17714285714285713,8.842857142857143,0.07291666666666667,0.002857142857142857,0.032704603573218326,0.12428305537985704,7.673611111111111,0.05606127246667493,0.1060652963808163,0.18363676348000496,0.0798611111111111,0,0.17672360617727334,0.2388391591361931,5.089367607709285,0.9502795842251742,0.0,0.9411764705882353,0.0,0.0,0.06121225449333499,0.26121225449333496
121,0.9600274647938613,0.5037200340681274,0.9202081280633654,0.5019500695595558,0.26040296497001675,0.4958945845491047,0.7684210526315789,0.36448438194020005,0.3894413765247896,0.08421052631578947,0.6257142857142857,0.35796740590854237,0.37451104242068345,0.07714285714285714,0.06857142857142857,0.09142857142857143,0.18571428571428572,8.914285714285715,0.06666666666666667,0.008571428571428572,0.03310885874681129,0.1241055541929324,7.256140350877193,0.05437943429267468,0.10305332655562971,0.1826276605756048,0.08070175438596491,0,0.1767822738606727,0.24127261465964311,5.07900882698367,0.9491154842208772,0.0,0.96875,0.0,0.0,0.06087588685853494,0.2608758868585349
