t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,mu_membership_reward,current_delta,eta_delta_drift,punish_floor,punish_intensity_step,pi_reward,lam_punish
242,0.8834926916164798,0.519837386513929,0.8753845450686275,0.5222239428180703,0.23632945151062196,0.5208237445534739,0.46607669616519176,0.3871948238095835,0.4054941403372433,0.0855457227138643,0.4514285714285714,0.38700805039528624,0.4033196060442406,0.08571428571428572,0.17404129793510326,0.19714285714285715,0.03142857142857143,43.402857142857144,0.2831858407079646,0.0,1.7699122309907336e-07,0.08436634914903716,10.743362831858407,0.0,0.0,0.15,0.07964601769911504,0,0.19875642475768318,0.35784613064967197,8.419486702289154,0.9638520654141837,0.0,0.9855072463768116,0.0,0.2,0.0,0.9999933308268527,0.05,0.08,0.17404129793510326,0.5,0.25
243,0.8834598710431654,0.5196093900316393,0.8753527559990456,0.5218656818901324,0.23632945151062196,0.5207480690015592,0.48672566371681414,0.3871948238095835,0.4054941403372433,0.0855457227138643,0.4714285714285714,0.38700805039528624,0.4033196060442406,0.08571428571428572,0.1504424778761062,0.16285714285714287,0.03142857142857143,43.605714285714285,0.2890855457227139,0.0,1.6814164809636283e-07,0.08436634914903716,10.743362831858407,0.0,0.0,0.15,0.07964601769911504,0,0.19836249977675194,0.3560568999964236,8.413954111100512,0.9445750241059,0.0,1.0,0.0,0.2,0.0,0.9999936642855101,0.05,0.08,0.1504424778761062,0.5,0.25
244,0.8842649244436409,0.5200383738252091,0.8761325077212206,0.5224049295407549,0.23632945151062196,0.520397458618354,0.44542772861356933,0.3873128179098784,0.4055826359124645,0.0855457227138643,0.43142857142857144,0.3871223361095719,0.40340532032995496,0.08571428571428572,0.15339233038348082,0.16857142857142857,0.03142857142857143,43.78,0.2890855457227139,0.0,1.597345531925032e-07,0.08436634914903716,10.743362831858407,0.0,0.0,0.15,0.07964601769911504,0,0.19891297299215388,0.37056914376426153,8.414246457449932,0.9537013767113136,0.0,0.9661016949152542,0.0,0.2,0.0,0.9999939810712346,0.05,0.08,0.15339233038348082,0.5,0.25
245,0.884286216532448,0.519808248470269,0.8761531306300937,0.5222496069846251,0.23632945151062196,0.5201140100886886,0.4424778761061947,0.387371814960026,0.4056268837000751,0.0855457227138643,0.42857142857142855,0.38717947896671473,0.4034481774728121,0.08571428571428572,0.14749262536873156,0.15428571428571428,0.03142857142857143,43.994285714285716,0.2861356932153392,0.0,1.51747814255033e-07,0.08436634914903716,10.743362831858407,0.0,0.0,0.15,0.07964601769911504,0,0.19897497955576454,0.36871629804544026,8.400247242586648,0.934858814488115,0.0,0.9814814814814815,0.0,0.2,0.0,0.9999942820176728,0.05,0.08,0.14749262536873156,0.5,0.25
246,0.8841366420226939,0.5194792024977151,0.8760082570335034,0.5219572057992434,0.23632945151062196,0.5199133199057283,0.45427728613569324,0.387371814960026,0.4056268837000751,0.0855457227138643,0.44,0.38717947896671473,0.4034481774728121,0.08571428571428572,0.1710914454277286,0.18571428571428572,0.03142857142857143,44.22,0.2861356932153392,0.0,1.4416041336210998e-07,0.08436634914903716,10.743362831858407,0.0,0.0,0.15,0.07964601769911504,0,0.19877939037227146,0.3668727165552131,8.4179565834492,0.9161616381983526,0.0,1.0,0.0,0.2,0.0,0.9999945679167892,0.05,0.08,0.1710914454277286,0.5,0.25
247,0.8859672832406787,0.519895689881971,0.8777813638132089,0.5222229716751511,0.23632945151062196,0.5196331221019798,0.4778761061946903,0.38748980906032093,0.40571537927529644,0.0855457227138643,0.46285714285714286,0.3872937646810005,0.4035338917585264,0.08571428571428572,0.15339233038348082,0.17714285714285713,0.03142857142857143,44.43142857142857,0.2861356932153392,0.0,1.3695238350811241e-07,0.08436634914903716,10.743362831858407,0.0,0.0,0.15,0.07964601769911504,0,0.1992993512775529,0.36503835297243703,8.426740308923073,0.9943230613322179,0.0,0.967741935483871,0.0,0.2,0.0,0.9999948395209497,0.05,0.08,0.15339233038348082,0.5,0.25
248,0.8845843907524631,0.5199899305259527,0.8764419336603366,0.5221930304343902,0.23632945151062196,0.5194846312057921,0.44837758112094395,0.38754880611046844,0.405759627062907,0.0855457227138643,0.4342857142857143,0.3873509075381434,0.40357674890138345,0.08571428571428572,0.14454277286135694,0.16857142857142857,0.03142857142857143,44.60285714285714,0.28023598820059,0.0,1.301047560407882e-07,0.08436634914903716,10.743362831858407,0.0,0.0,0.15,0.07964601769911504,0,0.19938828309259374,0.36321316120757485,8.42677693131604,0.9995971570312615,0.0,0.9830508474576272,0.0,0.2,0.0,0.9999950975449022,0.05,0.08,0.14454277286135694,0.5,0.25
249,0.8843078998920098,0.5207342931188144,0.8761741325126408,0.5228698986140874,0.23632945151062196,0.5193351983579082,0.4896755162241888,0.38754880611046844,0.405759627062907,0.0855457227138643,0.4742857142857143,0.3873509075381434,0.40357674890138345,0.08571428571428572,0.1592920353982301,0.17714285714285713,0.03142857142857143,44.82857142857143,0.2861356932153392,0.0,1.2359951075626767e-07,0.08436634914903716,10.743362831858407,0.0,0.0,0.15,0.07964601769911504,0,0.19913348524855934,0.36139709540153697,8.435384249832577,0.9796052138906363,0.0,1.0,0.0,0.2,0.0,0.9999953426676571,0.05,0.08,0.1592920353982301,0.5,0.25
250,0.8844123041851873,0.5204396603323374,0.8762752555280326,0.5225305906351985,0.23632945151062196,0.5192948805414496,0.48672566371681414,0.3876668002107634,0.40584812263812814,0.0855457227138643,0.4714285714285714,0.387465193252429,0.40366246318709775,0.08571428571428572,0.17699115044247787,0.19428571428571428,0.03142857142857143,45.00857142857143,0.28023598820059,0.0,1.1741952846629617e-07,0.08436634914903716,10.743362831858407,0.0,0.0,0.15,0.07964601769911504,0,0.19968038925088796,0.3873819934238119,8.460962279121638,1.1355621397831681,0.0,0.9705882352941176,0.0,0.2,0.0,0.9999955755342742,0.05,0.08,0.17699115044247787,0.5,0.25
251,0.8840592314401937,0.5217070482552557,0.8759332793550246,0.5239273279565037,0.23632945151062196,0.5193838688637779,0.49557522123893805,0.3876668002107634,0.40584812263812814,0.0855457227138643,0.48,0.387465193252429,0.40366246318709775,0.08571428571428572,0.13569321533923304,0.1457142857142857,0.03142857142857143,45.20285714285714,0.2831858407079646,0.0,1.1154854594927482e-07,0.08436634914903716,10.743362831858407,0.0,0.0,0.15,0.07964601769911504,0,0.19925313016177637,0.38544508345669287,8.437457319253491,1.1128508969875048,0.0,1.0,0.0,0.2,0.0,0.9999957967575605,0.05,0.08,0.13569321533923304,0.5,0.25
252,0.8828339371467712,0.5218860888894367,0.8747464943108236,0.524158253639587,0.23632945151062196,0.5194123460600754,0.40707964601769914,0.3876668002107634,0.40584812263812814,0.0855457227138643,0.3942857142857143,0.387465193252429,0.40366246318709775,0.08571428571428572,0.12684365781710916,0.13714285714285715,0.03142857142857143,45.362857142857145,0.2861356932153392,0.0,1.0597111315250413e-07,0.08436634914903716,10.743362831858407,0.0,0.0,0.15,0.07964601769911504,0,0.19885629308239608,0.3835178580394094,8.405851030011279,1.0905938790477547,0.0,1.0,0.0,0.2,0.0,0.9999960069196824,0.05,0.08,0.12684365781710916,0.5,0.25
253,0.8816945372779137,0.5221506574841049,0.8736429041521306,0.5244955336915106,0.23632945151062196,0.5195182136606378,0.4690265486725664,0.3876668002107634,0.40584812263812814,0.0855457227138643,0.4542857142857143,0.387465193252429,0.40366246318709775,0.08571428571428572,0.1504424778761062,0.1742857142857143,0.03142857142857143,45.54571428571428,0.2861356932153392,0.0,1.0067255253070605e-07,0.08436634914903716,10.743362831858407,0.0,0.0,0.15,0.07964601769911504,0,0.1987177273312698,0.3816002687492123,8.412019723696767,1.0687820014667997,0.0,1.0,0.0,0.2,0.0,0.9999962065736983,0.05,0.08,0.1504424778761062,0.5,0.25
