eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,final_current_delta,regime,run_dir
0.0,0.1,0.25,0.25,0.0,0.0,2,0.0974358974358974,0.4428571428571428,0.125,0.7991148266535529,0.9404966805999508,0.8070896833813317,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_02
0.0,0.1,0.25,0.25,0.0,0.0,3,0.1057692307692307,0.4057142857142857,0.1483679525222551,0.809823677581864,0.9588581024349286,0.7470629311128042,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_03
0.0,0.1,0.25,0.25,0.0,0.0,4,0.0979381443298969,0.4457142857142857,0.1286173633440514,0.8490063511575496,0.9612784265519361,0.861202160994967,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_04
0.0,0.1,0.25,0.25,0.0,0.0,5,0.0884955752212389,0.3542857142857142,0.1277258566978193,0.8122415219189413,0.9549214226633581,0.7147621443194089,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_05
0.0,0.1,0.25,0.25,0.0,0.0,6,0.0925925925925925,0.3828571428571428,0.1314285714285714,0.8073461444903917,0.9474580394064704,0.6558755649996758,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_06
0.0,0.1,0.25,0.25,0.0,0.0,7,0.087378640776699,0.4114285714285714,0.112540192926045,0.8192646297255308,0.9396685655100984,0.6449164465213458,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_07
0.0,0.1,0.25,0.25,0.0,0.0,8,0.0943396226415094,0.3942857142857143,0.131578947368421,0.8061507436349886,0.9498361482228385,0.7641519178366422,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_08
0.0,0.1,0.25,0.25,0.0,0.0,9,0.0963302752293578,0.3771428571428571,0.1528239202657807,0.7895921941456092,0.9339504628471353,0.6054340750712267,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_09
0.0,0.1,0.25,0.25,0.0,0.0,10,0.0934579439252336,0.3885714285714285,0.1203438395415472,0.8088172954641797,0.9499788045782112,0.7465066868602613,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_10
0.0,0.1,0.25,0.25,0.0,0.0,11,0.0913461538461538,0.4057142857142857,0.1266666666666666,0.8004830917874396,0.9371980676328503,0.7548808712544435,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_11
0.0,0.1,0.25,0.25,0.0,0.0,12,0.0849056603773584,0.3942857142857143,0.1379310344827586,0.8196891191709844,0.9523316062176166,0.7299720070228127,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_12
0.0,0.1,0.25,0.25,0.0,0.0,13,0.0909090909090909,0.4028571428571428,0.1282894736842105,0.8156529938708157,0.9488448844884488,0.6809101435316585,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_13
0.0,0.1,0.25,0.25,0.0,0.0,14,0.0854271356783919,0.4314285714285714,0.1269349845201238,0.7709624122263528,0.9500206526228832,0.7369809506746757,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_14
0.0,0.1,0.25,0.25,0.0,0.0,15,0.0844444444444444,0.3571428571428571,0.1289398280802292,0.8093480934809348,0.942189421894219,0.6072389188051986,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_15
0.0,0.1,0.25,0.25,0.0,0.0,16,0.0925925925925925,0.3828571428571428,0.1308139534883721,0.8353505843071787,0.9499165275459098,0.7512779214449115,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_16
0.0,0.1,0.25,0.25,0.0,0.0,17,0.0818181818181818,0.3714285714285714,0.1180124223602484,0.7886222701536802,0.9347533027770288,0.6419221843027515,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_17
0.0,0.1,0.25,0.25,0.0,0.0,18,0.0869565217391304,0.4085714285714286,0.1351351351351351,0.823985408116735,0.9482444140446876,0.6730138120095613,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_18
0.0,0.1,0.25,0.25,0.0,0.0,19,0.0947867298578199,0.3971428571428571,0.121580547112462,0.8344693281402142,0.9393865628042843,0.7510958039320776,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_19
0.0,0.1,0.25,0.25,0.0,0.0,20,0.1025641025641025,0.4428571428571428,0.132183908045977,0.8375086187083429,0.95610204550678,0.8654848719699568,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_20
0.0,0.1,0.25,0.25,0.0,0.0,21,0.0926829268292682,0.4142857142857143,0.1184971098265895,0.7730978260869565,0.9458786231884058,0.7873860424203315,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_21
