alpha,delta,sigma,pi_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime,run_dir
0.0,0.0,0.95,0.05,4,0.0958333333333333,0.3142857142857143,0.14,0.7886063072227874,0.9819938962360122,0.9740897201418699,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.05/seed_04
0.0,0.0,0.95,0.05,5,0.0982905982905982,0.3314285714285714,0.1428571428571428,0.7734863114847211,0.979893218221061,0.9579583574435135,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.05/seed_05
0.0,0.0,0.95,0.25,1,0.1093117408906882,0.2942857142857142,0.12,0.8013713780137138,0.9796505197965052,0.9680832688186868,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_01
0.0,0.0,0.95,0.25,2,0.1106719367588932,0.2771428571428571,0.1371428571428571,0.7853624901497241,0.9792159180457053,0.9708272848439568,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_02
0.0,0.0,0.95,0.25,3,0.141025641025641,0.3314285714285714,0.1428571428571428,0.7721476510067115,0.9765100671140939,0.9503936943853778,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_03
0.0,0.0,0.95,0.25,4,0.1255230125523012,0.3171428571428571,0.1285714285714285,0.7966000596480763,0.9805149617258176,0.972975476112754,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_04
0.0,0.0,0.95,0.25,5,0.1148936170212766,0.3285714285714285,0.1228571428571428,0.8130373272390902,0.9806290129502666,0.9707293316466578,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.25/seed_05
0.0,0.0,0.95,0.5,1,0.1260162601626016,0.2971428571428571,0.1285714285714285,0.782783326096396,0.9795918367346939,0.9687471064909646,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_01
0.0,0.0,0.95,0.5,2,0.11284046692607,0.2657142857142857,0.1285714285714285,0.7639052095573835,0.9772816294555425,0.9673822591016208,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_02
0.0,0.0,0.95,0.5,3,0.1416309012875536,0.3342857142857143,0.1314285714285714,0.783410138248848,0.9798521058836137,0.9634700866289416,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_03
0.0,0.0,0.95,0.5,4,0.1285140562248996,0.2885714285714286,0.1142857142857142,0.7864510733203234,0.981042654028436,0.9736323617149478,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_04
0.0,0.0,0.95,0.5,5,0.1363636363636363,0.3085714285714285,0.1342857142857142,0.7726592880646126,0.9792601455778243,0.9666528936523497,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.50/seed_05
