t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,active_punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,pi_reward,lam_punish
89,0.8773148137873398,0.4880112649612713,0.7147667002585151,0.4884944951799899,0.23280729257740893,0.4797568573588039,0.4473684210526316,0.37588882407706803,0.38583161753892475,0.07017543859649122,0.1457142857142857,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.6742857142857143,6.945714285714286,0.008771929824561403,0.0,0.35341345997844714,0.0531216,2.0,0.0,0.0,0.15,0.07894736842105263,0,0.13508355015689086,0.21609047027265924,0.5801866948973105,1.008892487649191,0.0,0.0,0.18,0.25
90,0.87915973404929,0.48865676192807644,0.7155545695994878,0.4889537257518451,0.23280729257740893,0.48002928404138995,0.4594594594594595,0.377781886577415,0.38178868298409685,0.07207207207207207,0.1457142857142857,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.6828571428571428,7.002857142857143,0.018018018018018018,0.008571428571428572,0.35323667960607014,0.05312159999999999,2.0,0.0,0.0,0.15,0.08108108108108109,0,0.1344081324061064,0.21501001792129593,0.5685829609993642,0.9887146378962072,0.0,0.0,0.18,0.25
91,0.8800749916305314,0.48869386873956994,0.7158448370038244,0.48865212500063177,0.23280729257740893,0.4802917493762784,0.3783783783783784,0.377781886577415,0.38178868298409685,0.07207207207207207,0.12,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.6828571428571428,7.025714285714286,0.009009009009009009,0.0,0.3534707626714121,0.05312159999999999,2.0,0.0,0.0,0.15,0.08108108108108109,0,0.13373609174407586,0.21393496783168947,0.557211301779377,0.968940345138283,0.0,0.0,0.18,0.25
92,0.8801740413820736,0.4901473662401712,0.7160997722982109,0.4887979294460912,0.23280729257740893,0.48070352130797944,0.38181818181818183,0.37772227289350657,0.3801864615419169,0.07272727272727272,0.12,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.6857142857142857,7.06,0.01818181818181818,0.002857142857142857,0.3535718505176014,0.05312159999999999,1.9636363636363636,0.0,0.0,0.15,0.08181818181818182,0,0.13306741128535549,0.212865292992531,0.5460670757437894,0.9495615382355173,0.0,0.0,0.18,0.25
93,0.8837696618331731,0.4886857131479336,0.7175407628365166,0.48829511321920693,0.23280729257740893,0.48092150730959465,0.42201834862385323,0.3769697286725624,0.3809373456741068,0.07339449541284404,0.13142857142857142,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.6885714285714286,7.06,0.01834862385321101,0.002857142857142857,0.3538323277898101,0.05312159999999999,1.908256880733945,0.0,0.0,0.15,0.08256880733944955,0,0.13240207422892875,0.21180096652756839,0.5351457342289136,0.9305703074708068,0.0,0.0,0.18,0.25
94,0.8887110766176661,0.4883834656932288,0.7185280218111048,0.4882132697059488,0.23280729257740893,0.48102920888327977,0.3904761904761905,0.377086015661559,0.380377632348131,0.0761904761904762,0.11714285714285715,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7,7.1085714285714285,0.0,0.011428571428571429,0.35564645227891206,0.0531216,1.6571428571428573,0.0,0.0,0.15,0.08571428571428572,0,0.13174006385778406,0.21074196169493054,0.5244428195443354,0.9119589013213907,0.0,0.0,0.18,0.25
95,0.8945778135245621,0.48823483520841127,0.7202880428831737,0.48835239749907894,0.23280729257740893,0.4808635313102685,0.3904761904761905,0.377086015661559,0.380377632348131,0.0761904761904762,0.11714285714285715,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7,7.114285714285714,0.01904761904761905,0.0,0.35613068424164873,0.0531216,1.6571428571428573,0.0,0.0,0.15,0.0761904761904762,0,0.13108136353849517,0.20968825188645587,0.5139539631534487,0.8937197232949629,0.0,0.0,0.18,0.25
96,0.8930652106019382,0.48616585665669565,0.7201391138636185,0.48802715542210007,0.23280729257740893,0.4808596922537346,0.44660194174757284,0.37642970031333267,0.38309623812968,0.07766990291262135,0.13142857142857142,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7057142857142857,7.097142857142857,0.009708737864077669,0.005714285714285714,0.3567204601188846,0.05312159999999999,1.5728155339805825,0.0,0.0,0.15,0.07766990291262135,0,0.13042595672080268,0.20863981062702358,0.5036748838903796,0.8758453288290636,0.0,0.0,0.18,0.25
97,0.89673225768377,0.48510897981043294,0.7212182734334147,0.4887447680980161,0.23280729257740893,0.48084227834365395,0.44660194174757284,0.37642970031333267,0.38309623812968,0.07766990291262135,0.13142857142857142,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7057142857142857,7.117142857142857,0.019417475728155338,0.0,0.35688753888420316,0.05312159999999999,1.5728155339805825,0.0,0.0,0.15,0.07766990291262135,0,0.12977382693719866,0.20759661157388848,0.493601386212572,0.8583284222524823,0.0,0.0,0.18,0.25
98,0.899486469721732,0.4855773275665705,0.7220287986903008,0.48823490195218205,0.23280729257740893,0.4807686025803328,0.44660194174757284,0.37642970031333267,0.38309623812968,0.07766990291262135,0.13142857142857142,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7057142857142857,7.1571428571428575,0.038834951456310676,0.0,0.35688753888420316,0.05312159999999999,1.5728155339805825,0.0,0.0,0.15,0.07766990291262135,0,0.12912495780251268,0.20655862851601903,0.48372935848832055,0.8411618538074327,0.0,0.0,0.18,0.25
