sigma,pi_reward,base_opp,exit_threshold,seed,run_dir,final_fund_prevalence,final_exit_rate,old_max_punish,new_max_punish,enforcer_punish_share,top5_punishment_share,top10_punishment_share,old_regime_legacy,new_regime_legacy,old_regime_hier,new_regime_hier,reclassified_legacy,reclassified_hier,reclassified
0.25,0.25,0.3,1.5,2,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_1.50/seed_02,0.1170212765957446,0.7314285714285714,0.08,0.16783216783216767,0.8538173888022043,0.9501133786848073,0.9735449735449735,QUIET,MIXED,QUIET,MIXED,True,True,True
0.25,0.25,0.3,1.5,3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_1.50/seed_03,0.1,0.6857142857142857,0.08,0.17721518987341772,0.8158359420544721,0.9442139234670355,0.9654218533886584,QUIET,MIXED,QUIET,MIXED,True,True,True
0.25,0.25,0.3,1.5,4,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_1.50/seed_04,0.1318681318681318,0.74,0.0657142857142857,0.15624999999999986,0.880212272467516,0.9686585875470122,0.9837024655244463,QUIET,MIXED,QUIET,MIXED,True,True,True
0.25,0.25,0.3,1.5,5,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_1.50/seed_05,0.0909090909090909,0.6857142857142857,0.0742857142857142,0.17105263157894718,0.7881480477268042,0.9397354238118569,0.9666829985301323,QUIET,MIXED,QUIET,MIXED,True,True,True
0.25,0.25,1.5,-1.0,1,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_-1.00/seed_01,0.0927835051546391,0.4457142857142857,0.1114285714285714,0.1117478510028653,0.4847822210648951,0.74800796812749,0.900398406374502,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,1.5,-1.0,2,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_-1.00/seed_02,0.100502512562814,0.4314285714285714,0.1057142857142857,0.1057142857142857,0.45054211543878836,0.6118843683083511,0.8656316916488223,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,1.5,-1.0,3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_-1.00/seed_03,0.0885416666666666,0.4514285714285714,0.1142857142857142,0.11572700296735902,0.40884464410778487,0.7968826108134437,0.913297613248904,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,1.5,-1.0,4,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_-1.00/seed_04,0.0904255319148936,0.4628571428571428,0.0971428571428571,0.10932475884244368,0.46474269350160197,0.7121848739495799,0.8965336134453782,QUIET,MIXED,QUIET,MIXED,True,True,True
0.25,0.25,1.5,-1.0,5,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_-1.00/seed_05,0.0923076923076923,0.4428571428571428,0.1228571428571428,0.1232091690544412,0.5522160993758715,0.6858536585365854,0.9034146341463415,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,1.5,1.5,1,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_1.50/seed_01,0.1428571428571428,0.98,0.0542857142857142,0.14285714285713988,0.6470029249766082,0.9339622641509434,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.25,1.5,1.5,2,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_1.50/seed_02,0.2,0.9857142857142858,0.08,0.14285714285713988,0.7797570542915361,0.934640522875817,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.25,1.5,1.5,3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_1.50/seed_03,0.1,0.9714285714285714,0.0628571428571428,0.16666666666666588,0.8353281741372097,0.8679245283018868,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.25,1.5,1.5,4,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_1.50/seed_04,0.0,0.9857142857142858,0.0657142857142857,0.0657142857142857,0.8734579001495987,0.9705882352941176,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.25,1.5,1.5,5,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_1.50/seed_05,0.1428571428571428,0.98,0.0628571428571428,0.33333333333333237,0.7256202141202132,0.8947368421052632,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.25,3.0,-1.0,1,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_-1.00/seed_01,0.0952380952380952,0.46,0.1114285714285714,0.11271676300578033,0.40776056102148456,0.741423125794155,0.8945362134688691,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,3.0,-1.0,2,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_-1.00/seed_02,0.096045197740113,0.4942857142857143,0.1142857142857142,0.11461318051575922,0.3800892098400942,0.6327543424317618,0.859181141439206,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,3.0,-1.0,3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_-1.00/seed_03,0.0946745562130177,0.5171428571428571,0.1371428571428571,0.13953488372093018,0.4447107064594779,0.7339003645200486,0.9094775212636695,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,3.0,-1.0,4,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_-1.00/seed_04,0.1012658227848101,0.5485714285714286,0.1028571428571428,0.113564668769716,0.6488092640013029,0.7677672076105204,0.9255735870173475,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,3.0,-1.0,5,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_-1.00/seed_05,0.0909090909090909,0.4657142857142857,0.1285714285714285,0.12931034482758613,0.4027826691195536,0.6497429305912596,0.87146529562982,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,3.0,1.5,1,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_1.50/seed_01,0.0,0.9971428571428572,0.0542857142857142,0.5000000000000034,0.9176023401812865,0.9541284403669725,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.25,3.0,1.5,2,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_1.50/seed_02,0.25,0.9885714285714284,0.08,0.08,0.8924233104491714,0.9402985074626866,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.25,3.0,1.5,3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_1.50/seed_03,0.25,0.9885714285714284,0.0628571428571428,0.249999999999992,0.5615400759671849,0.8735632183908046,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
