t,fund_prevalence,exit_rate,punish_rate,enforcer_punish_share_step,sigma,pi_reward,base_opp,exit_threshold,seed,regime,regime_column
131,0.0876494023904382,0.2828571428571428,0.0571428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
132,0.0883534136546184,0.2885714285714286,0.0828571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
133,0.0883534136546184,0.2885714285714286,0.08,0.9714285714285714,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
134,0.0883534136546184,0.2885714285714286,0.06,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
135,0.0883534136546184,0.2885714285714286,0.0657142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
136,0.0887096774193548,0.2914285714285714,0.0771428571428571,0.9714285714285714,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
137,0.0887096774193548,0.2914285714285714,0.0828571428571428,0.9487179487179488,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
138,0.0890688259109311,0.2942857142857142,0.0742857142857142,0.9473684210526316,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
139,0.0897959183673469,0.3,0.0742857142857142,0.9722222222222222,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
140,0.0897959183673469,0.3,0.0828571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
141,0.0901639344262295,0.3028571428571429,0.0657142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
142,0.0905349794238683,0.3057142857142857,0.0657142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
143,0.0905349794238683,0.3057142857142857,0.0542857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
144,0.0909090909090909,0.3085714285714285,0.06,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
145,0.0909090909090909,0.3085714285714285,0.0657142857142857,0.9655172413793104,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
146,0.0909090909090909,0.3085714285714285,0.0771428571428571,0.9666666666666668,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
147,0.0909090909090909,0.3085714285714285,0.0714285714285714,0.9629629629629628,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
148,0.0912863070539419,0.3114285714285714,0.0628571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
149,0.0912863070539419,0.3114285714285714,0.0657142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
150,0.0916666666666666,0.3142857142857143,0.0657142857142857,0.9615384615384616,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
151,0.0916666666666666,0.3142857142857143,0.0628571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
152,0.0920502092050209,0.3171428571428571,0.0771428571428571,0.9333333333333332,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
153,0.0920502092050209,0.3171428571428571,0.06,0.9230769230769232,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
154,0.0924369747899159,0.32,0.0828571428571428,0.9393939393939394,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
155,0.0932203389830508,0.3257142857142857,0.0542857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
156,0.0932203389830508,0.3257142857142857,0.0542857142857142,0.9565217391304348,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
157,0.0936170212765957,0.3285714285714285,0.0657142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
158,0.0936170212765957,0.3285714285714285,0.0571428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
159,0.094017094017094,0.3314285714285714,0.0514285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
160,0.0944206008583691,0.3342857142857143,0.0428571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
161,0.0948275862068965,0.3371428571428571,0.06,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
162,0.0948275862068965,0.3371428571428571,0.0571428571428571,0.9545454545454546,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
163,0.0952380952380952,0.34,0.0628571428571428,0.9629629629629628,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
164,0.0952380952380952,0.34,0.06,0.9615384615384616,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
165,0.0952380952380952,0.34,0.0457142857142857,0.9090909090909092,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
166,0.0956521739130434,0.3428571428571428,0.0514285714285714,0.9545454545454546,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
167,0.0960698689956331,0.3457142857142857,0.0485714285714285,0.8636363636363636,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
168,0.0960698689956331,0.3457142857142857,0.0428571428571428,0.9444444444444444,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
169,0.0960698689956331,0.3457142857142857,0.04,0.9444444444444444,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
170,0.0960698689956331,0.3457142857142857,0.0371428571428571,0.9411764705882352,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
171,0.0964912280701754,0.3485714285714286,0.0485714285714285,0.9523809523809524,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
172,0.0964912280701754,0.3485714285714286,0.0457142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
173,0.0969162995594713,0.3514285714285714,0.0314285714285714,0.9333333333333332,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
174,0.0973451327433628,0.3542857142857142,0.0342857142857142,0.9230769230769232,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
175,0.0977777777777777,0.3571428571428571,0.0342857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
176,0.0977777777777777,0.3571428571428571,0.0342857142857142,0.8571428571428571,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
177,0.0977777777777777,0.3571428571428571,0.0285714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
178,0.0977777777777777,0.3571428571428571,0.0285714285714285,0.9230769230769232,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
179,0.0977777777777777,0.3571428571428571,0.0371428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
180,0.0977777777777777,0.3571428571428571,0.0257142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
181,0.0977777777777777,0.3571428571428571,0.0228571428571428,0.8888888888888888,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
182,0.0982142857142857,0.36,0.0457142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
183,0.0982142857142857,0.36,0.0428571428571428,0.9473684210526316,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
184,0.0982142857142857,0.36,0.0371428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
185,0.0982142857142857,0.36,0.0285714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
