t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,mu_membership_reward,current_delta,eta_delta_drift,punish_floor,punish_intensity_step,pi_reward,lam_punish,mean_exit_capacity,mean_outside_ties,mean_econ_independence,frac_born_inside,mean_tenure,n_deaths_step,exit_rate_last100,cumulative_exit_rate
223,0.9811472807455328,0.49784351174822017,0.9009905291808002,0.507369375187307,0.2516337139533873,0.49014425527305194,0.6858974358974359,0.41700843092235007,0.42072990571253216,0.12179487179487179,0.3566666666666667,0.3760614194089108,0.369759502324775,0.07,0.00641025641025641,0.0033333333333333335,0.48,5.156666666666666,0.0,0.0,0.2145589634052095,0.10914957553144397,2.358974358974359,0.2414957553144401,0.3830649392579961,0.294897453188664,0.07692307692307693,0,0.11791417574678661,0.18229029781699546,0.8160533525896092,0.41114240726128765,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.00641025641025641,0.26829915106288804,0.298299151062888,0.9077132156520127,0.8244404701739058,0.9909859611301197,0.0,223.0,0,0.041666666666666664,0.54
224,0.9795503717111657,0.4959513649921941,0.9001601364829293,0.5068079644090063,0.2516337139533873,0.48977694688073725,0.6538461538461539,0.41700843092235007,0.42072990571253216,0.12179487179487179,0.34,0.3760614194089108,0.369759502324775,0.07,0.0,0.0,0.48,5.113333333333333,0.0,0.0,0.21711621583629354,0.10842508826550067,2.358974358974359,0.23425088265500688,0.3740606298136412,0.2905505295930041,0.07692307692307693,0,0.11732460486805268,0.18137884632791046,0.7997322855378171,0.40291955911606187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2668501765310014,0.2968501765310014,0.9079976035051942,0.8247953263806005,0.9911998806297879,0.0,224.0,0,0.041666666666666664,0.54
225,0.9798537169966378,0.49390272944048264,0.9003178760313748,0.5064623324842719,0.2516337139533873,0.4893757376002436,0.6346153846153846,0.41700843092235007,0.42072990571253216,0.12179487179487179,0.33,0.3760614194089108,0.369759502324775,0.07,0.00641025641025641,0.0033333333333333335,0.48,5.126666666666667,0.0,0.0,0.21961553116427354,0.10772233561753566,2.358974358974359,0.22722335617535666,0.3652009026981813,0.286334013705214,0.07692307692307693,0,0.11683748267704575,0.1804719520962709,0.787070973160394,0.39486116793374065,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.00641025641025641,0.2654446712350713,0.29544467123507134,0.9082809267897556,0.8251480534500549,0.9914138001294562,0.0,225.0,0,0.041666666666666664,0.54
226,0.9811204968584786,0.4942378521601724,0.900976601559532,0.5063641116571822,0.2516337139533873,0.4887251883236211,0.6346153846153846,0.41700843092235007,0.42072990571253216,0.12179487179487179,0.33,0.3760614194089108,0.369759502324775,0.07,0.0,0.0,0.48,5.123333333333333,0.0,0.0,0.22205749575683087,0.10704066554900958,2.358974358974359,0.22040665549009594,0.35648716786058876,0.2822439932940576,0.07692307692307693,0,0.11625329526366052,0.17956959233578956,0.771329553697186,0.38696394457506583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2640813310980192,0.2940813310980192,0.9085631918931085,0.8254986641570926,0.9916277196291244,0.0,226.0,0,0.041666666666666664,0.54
227,0.9797262160393289,0.4935569087042491,0.9002515755335742,0.5059603209784941,0.2516337139533873,0.4882098313088303,0.6538461538461539,0.41700843092235007,0.42072990571253216,0.12179487179487179,0.34,0.3760614194089108,0.369759502324775,0.07,0.0,0.0,0.48,5.136666666666667,0.00641025641025641,0.0,0.224442752631737,0.10637944558253927,2.358974358974359,0.21379445582539305,0.34792057803922305,0.2782766734952358,0.07692307692307693,0,0.11567202878734224,0.17867174437411062,0.7559029626232423,0.3792246656835645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2627588911650786,0.2927588911650786,0.9088444051643406,0.8258471711998883,0.9918416391287926,0.0,227.0,0,0.041666666666666664,0.54
228,0.9805485257702413,0.49367451813038293,0.9006713326180916,0.5058430643141952,0.2516337139533873,0.4877518574992029,0.7290322580645161,0.4155104803883966,0.42155501744081403,0.12258064516129032,0.37666666666666665,0.3760614194089108,0.369759502324775,0.07,0.0064516129032258064,0.0033333333333333335,0.48333333333333334,5.09,0.0,0.0033333333333333335,0.22701210780131553,0.10573806221506311,2.335483870967742,0.20738062215063124,0.3395020404672826,0.2744283732903787,0.07741935483870968,0,0.11519316947673885,0.17777838565224008,0.7441182367041108,0.37164017236989316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.00641025641025641,0.26147612443012624,0.29147612443012627,0.9099127637271441,0.8278212232862888,0.9920043041679995,0.0,228.0,0,0.041666666666666664,0.54
229,0.981089370530404,0.49381603960892595,0.900950769077509,0.5049393915675551,0.2516337139533873,0.4872392458822639,0.7225806451612903,0.4155104803883966,0.42155501744081403,0.12258064516129032,0.37333333333333335,0.3760614194089108,0.369759502324775,0.07,0.0,0.0,0.48333333333333334,5.076666666666667,0.0,0.0,0.22928762152856913,0.10511592034861118,2.335483870967742,0.2011592034861123,0.3312322285353265,0.27069552209166736,0.07741935483870968,0,0.11461720362935514,0.17688949372397886,0.7292358719700286,0.36420736892249533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2602318406972225,0.29023184069722247,0.9101919467692349,0.8281642897449978,0.992219603793472,0.0,229.0,0,0.041666666666666664,0.54
230,0.9809033280507826,0.49366883875791134,0.9008546471297046,0.5046419842497761,0.2516337139533873,0.4867238928950106,0.7806451612903226,0.4155104803883966,0.42155501744081403,0.12258064516129032,0.4033333333333333,0.3760614194089108,0.369759502324775,0.07,0.012903225806451613,0.006666666666666667,0.48333333333333334,5.06,0.0,0.0,0.23150858325391,0.1045124427381529,2.335483870967742,0.19512442738152894,0.32311159336703044,0.26707465642891737,0.07741935483870968,0,0.1143404799658118,0.17600504625535898,0.7213178211972947,0.35692322154404543,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.012903225806451613,0.2590248854763058,0.2890248854763058,0.9104701006119494,0.8285052978049543,0.9924349034189446,0.0,230.0,0,0.041666666666666664,0.54
231,0.98317121607167,0.4927441391339164,0.9020263892738296,0.5041050263131891,0.2516337139533873,0.4861118171509115,0.8258064516129032,0.4155104803883966,0.42155501744081403,0.12258064516129032,0.4266666666666667,0.3760614194089108,0.369759502324775,0.07,0.0064516129032258064,0.0033333333333333335,0.48333333333333334,5.07,0.0,0.0,0.2336758062156352,0.10392706945600827,2.335483870967742,0.18927069456008305,0.3151403752688394,0.26356241673604985,0.07741935483870968,0,0.1138021108993161,0.17512502102408217,0.7102247981066822,0.3497847571131645,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0064516129032258064,0.2578541389120166,0.2878541389120166,0.9107472314304841,0.8288442598165512,0.9926502030444171,0.0,231.0,0,0.041666666666666664,0.54
232,0.9826363496504797,0.4906242393659509,0.9017500416228815,0.5034092330920341,0.2516337139533873,0.48557634481134393,0.8,0.4155104803883966,0.42155501744081403,0.12258064516129032,0.41333333333333333,0.3760614194089108,0.369759502324775,0.07,0.0,0.0,0.48333333333333334,5.043333333333333,0.0,0.0,0.23578924685318184,0.10335925737232804,2.335483870967742,0.18359257372328056,0.30731861501846325,0.2601555442339683,0.07741935483870968,0,0.1132331003448195,0.17424939591896174,0.6960203021445485,0.3427890619709012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2567185147446561,0.2867185147446561,0.9110171055790581,0.8291811880560787,0.992853023102038,0.0,232.0,0,0.041666666666666664,0.54
