t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,mu_membership_reward,current_delta,eta_delta_drift,punish_floor,punish_intensity_step,pi_reward,lam_punish,mean_exit_capacity,mean_outside_ties,mean_econ_independence,frac_born_inside,mean_tenure,n_deaths_step,exit_rate_last100,cumulative_exit_rate
240,0.9436393007701939,0.49349207163428227,0.8677977911910743,0.5026981979836026,0.23956741367435105,0.5024910289525111,0.7727272727272727,0.3815595646054217,0.4033674027827404,0.08441558441558442,0.39666666666666667,0.3670623523945284,0.3768952124849894,0.056666666666666664,0.01948051948051948,0.01,0.4866666666666667,5.343333333333334,0.012987012987012988,0.0,0.2392150966663705,0.09874356328321272,3.324675324675325,0.14388946049769677,0.2500726328904579,0.23633367629861807,0.07792207792207792,0,0.1006366381249018,0.14460526807135116,0.6459410081427237,0.40191468681878606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01948051948051948,0.24877789209953935,0.27877789209953935,0.87677627834873,0.7576098520733622,0.9959427046240976,0.0,197.32467532467533,1,0.13043478260869565,0.6
241,0.940181649001238,0.4933599733367027,0.8661512315391989,0.5028901340132281,0.23852106058181752,0.5027916997320548,0.7777777777777778,0.3797034605264316,0.40143631532212926,0.0784313725490196,0.39666666666666667,0.3658945111481303,0.37504416444110394,0.05333333333333334,0.013071895424836602,0.01,0.49,5.32,0.013071895424836602,0.0033333333333333335,0.24110917067385423,0.09831049807567345,3.3594771241830066,0.13957277668276585,0.2435702057004686,0.2337436660096595,0.0718954248366013,0,0.09373097153856885,0.13529000442433628,0.5910260389897146,0.3295335102390646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01948051948051948,0.24791455533655318,0.2779145553365532,0.8787987153800931,0.761606017647273,0.9959914131129134,0.0,196.47058823529412,1,0.13043478260869565,0.6
242,0.9341342827806307,0.49299473200622773,0.8630670747666894,0.502649748453733,0.23882280457658359,0.5033033512437164,0.7450980392156863,0.3785474646630694,0.3995398798511283,0.0784313725490196,0.38,0.36530495325781553,0.37407698235089354,0.05333333333333334,0.0196078431372549,0.01,0.49,5.3566666666666665,0.0196078431372549,0.0,0.2425205696316821,0.0978945164667366,3.411764705882353,0.13538559338228287,0.23720898688189118,0.23123135602936973,0.0784313725490196,0,0.0931148347283324,0.1277849206275198,0.5875494924941713,0.28880753418915345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0196078431372549,0.24707711867645657,0.27707711867645657,0.8801806934684899,0.76429474706482,0.9960666398721597,0.0,196.16339869281046,1,0.13043478260869565,0.6
243,0.9362944285124193,0.49364778548312627,0.8641687490899015,0.5022393481470709,0.23882280457658359,0.5038318135338778,0.738562091503268,0.3785474646630694,0.3995398798511283,0.0784313725490196,0.37666666666666665,0.36530495325781553,0.37407698235089354,0.05333333333333334,0.0,0.0,0.49,5.383333333333334,0.013071895424836602,0.0,0.24214060290403003,0.09813240255808144,3.411764705882353,0.13132402558081438,0.23098749725423284,0.2287944153484886,0.0784313725490196,0,0.09264926055469073,0.1271459960243822,0.5757985026442878,0.2830313835053704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2462648051161629,0.27626480511616286,0.8800697997109163,0.7639977327904264,0.9961418666314062,0.0,197.16339869281046,0,0.13043478260869565,0.6
244,0.9364603487426721,0.49320161938747276,0.8642533684073304,0.5022366449267216,0.23882280457658359,0.5043587250442294,0.7450980392156863,0.3785474646630694,0.3995398798511283,0.0784313725490196,0.38,0.36530495325781553,0.37407698235089354,0.05333333333333334,0.0196078431372549,0.01,0.49,5.403333333333333,0.0196078431372549,0.0,0.24359030895406722,0.09773843048133901,3.411764705882353,0.12738430481338994,0.22490417307454358,0.22643058288803397,0.0784313725490196,0,0.09254658372953356,0.1265102660442603,0.574282532591402,0.277370755835263,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0196078431372549,0.24547686096267798,0.275476860962678,0.8799590126824405,0.7637009319742281,0.9962170933906528,0.0,198.16339869281046,0,0.13043478260869565,0.6
245,0.9365205556233989,0.49360488644948713,0.8642529496618208,0.5032820489197163,0.23882280457658359,0.5045895130328574,0.8211920529801324,0.3797769770949183,0.40309530900560914,0.07947019867549669,0.41333333333333333,0.36530495325781553,0.37407698235089354,0.05333333333333334,0.013245033112582781,0.013333333333333334,0.49666666666666665,5.3966666666666665,0.0,0.006666666666666667,0.2448244484976193,0.09735627756689881,3.390728476821192,0.12356277566898824,0.21895737357148748,0.22413766540139293,0.07947019867549669,0,0.09265051747755255,0.12587771471403897,0.5761302152729073,0.27182334071855774,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.026143790849673203,0.24471255513379764,0.27471255513379766,0.8790619996986255,0.7618807875897371,0.9962432118075139,0.0,198.72185430463577,0,0.13043478260869565,0.6
246,0.9368775250888213,0.49426024420446746,0.8644326242927503,0.5047563054637031,0.23882280457658359,0.5049197954907997,0.7748344370860927,0.3797769770949183,0.40309530900560914,0.07947019867549669,0.39,0.36530495325781553,0.37407698235089354,0.05333333333333334,0.013245033112582781,0.006666666666666667,0.49666666666666665,5.406666666666666,0.006622516556291391,0.0,0.2463478831355575,0.09698558923989185,3.390728476821192,0.11985589239891858,0.21314538815050066,0.22191353543935116,0.07947019867549669,0,0.09272059822349812,0.1252483261404688,0.5712742776341158,0.2663868739041865,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.013245033112582781,0.24397117847978372,0.2739711784797837,0.878952696027696,0.7615859571077146,0.9963194349476775,0.0,199.72185430463577,0,0.13043478260869565,0.6
247,0.9386420133620318,0.49408508228295345,0.8653207500569329,0.5049869137841404,0.23882280457658359,0.505151451396001,0.8013245033112583,0.3797769770949183,0.40309530900560914,0.07947019867549669,0.4033333333333333,0.36530495325781553,0.37407698235089354,0.05333333333333334,0.006622516556291391,0.0033333333333333335,0.49666666666666665,5.423333333333333,0.0,0.0,0.2476820216235341,0.09662602156269509,3.390728476821192,0.11626021562695102,0.2074664432729625,0.21975612937617062,0.07947019867549669,0,0.09275699523238062,0.12462208450976645,0.5631821254147668,0.2610591364261028,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.006622516556291391,0.2432520431253902,0.2732520431253902,0.8788435483713917,0.7612914386549419,0.9963956580878411,0.0,200.72185430463577,0,0.13043478260869565,0.6
248,0.9397189120902943,0.4962708415155841,0.8658627890834915,0.5055870786430336,0.23882280457658359,0.5052319058928627,0.8079470198675497,0.3797769770949183,0.40309530900560914,0.07947019867549669,0.4066666666666667,0.36530495325781553,0.37407698235089354,0.05333333333333334,0.019867549668874173,0.01,0.49666666666666665,5.386666666666667,0.0,0.0,0.24897859385054727,0.09627724091581424,3.390728476821192,0.11277240915814249,0.20191870901338704,0.21766344549488548,0.07947019867549669,0,0.09335971025621874,0.1239989740872176,0.5619184829064714,0.2558379536975807,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.019867549668874173,0.2425544818316285,0.2725544818316285,0.8787288441795735,0.7609972303592434,0.9964604579999035,0.0,201.72185430463577,0,0.13043478260869565,0.6
249,0.9393347935151006,0.4957093632684429,0.865669449400644,0.5051057649058184,0.23882280457658359,0.5055171039736887,0.7748344370860927,0.3799094274260442,0.4031946467539535,0.07947019867549669,0.39,0.36537161992448225,0.3741269823508935,0.05333333333333334,0.006622516556291391,0.0033333333333333335,0.49666666666666665,5.383333333333334,0.0,0.0,0.25023854452827843,0.09593892368833977,3.390728476821192,0.10938923688339822,0.19650030529959117,0.21563354213003894,0.07947019867549669,0,0.09339291170493763,0.1299721661157499,0.5540134465816754,0.28035492521297234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.006622516556291391,0.24187784737667964,0.27187784737667964,0.8786092433656502,0.7607033303596766,0.9965151563716238,0.0,202.72185430463577,0,0.13043478260869565,0.6
