eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share,median_final_delta
0.1,0.1,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1117478510028653,0.00428571428571425,0.6751073949209567,0.1896551724137931,0.9814903289499723,0.9999999999999996
0.1,0.1,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.10935274437709094,0.00428571428571425,0.6716899993925398,0.18884158821121566,0.9819652173365552,0.9999999999999996
0.1,0.1,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.08080824907131309,0.0085714285714285,0.7481676908618411,0.1556195965417867,0.9817693442464899,0.9999999999999996
0.1,0.1,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.10869126840088719,0.0085714285714285,0.6901287304145365,0.16618493488267186,0.9803950432926305,0.9999999999999996
0.1,0.1,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1090389618944109,0.0057142857142857,0.6871979622893241,0.1635584428416164,0.9803155699438022,0.9999999999999996
0.1,0.2,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0671428571428571,0.6583487215028156,0.04999999999999995,0.6844477654961526,0.2
0.1,0.2,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.0830945558739255,0.0142857142857142,0.7892885570854802,0.16690682036503357,0.9808696403473098,0.9999999999999996
0.1,0.2,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1005747126436781,0.0057142857142857,0.7040844778214577,0.1988472622478386,0.9833147186074093,0.9999999999999996
0.1,0.2,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.081159420289855,0.0085714285714285,0.7807502192616017,0.16786055396370575,0.9823332648156542,0.9999999999999996
0.1,0.2,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.10935274437709094,0.0028571428571428,0.6761193059625896,0.1896551724137931,0.9818720663978668,0.9999999999999996
0.1,0.2,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.10935274437709094,0.0028571428571428,0.6716284037797646,0.1891117478510028,0.9817820454839177,0.9999999999999996
0.1,0.2,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.08057570638311964,0.0071428571428571,0.7481676908618411,0.1558444803518182,0.9814439450940896,0.9999999999999996
0.1,0.2,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1091954022988505,0.0071428571428571,0.6912970846764768,0.16569907466092026,0.9801647973918488,0.9999999999999996
0.1,0.2,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1091954022988505,0.0057142857142857,0.6871979622893241,0.1635584428416164,0.9801617492831025,0.9999999999999996
0.1,0.3,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0557142857142857,0.6522184792574508,0.04999999999999995,0.6927244614094263,0.3
0.1,0.3,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.08284868977176665,0.0085714285714285,0.7886830227026733,0.1685714285714285,0.9808696403473098,0.9999999999999996
0.1,0.3,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1005747126436781,0.0057142857142857,0.7040844778214577,0.19971098265895953,0.9831658815048625,0.9999999999999996
0.1,0.3,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.0830945558739255,0.0057142857142857,0.7800255088846053,0.16786055396370575,0.9822543203536591,0.9999999999999996
0.1,0.3,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1117478510028653,0.0028571428571428,0.67632062226389,0.1896551724137931,0.9816883814629136,0.9999999999999996
0.1,0.3,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1091954022988505,0.0028571428571428,0.6701843730106141,0.1891117478510028,0.9817820454839177,0.9999999999999996
0.1,0.3,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.0809248554913294,0.0085714285714285,0.7506487471906651,0.1558444803518182,0.9815868411245193,0.9999999999999996
0.1,0.3,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1098265895953757,0.0057142857142857,0.6871155023233746,0.16474126049367244,0.9800626898964955,0.9999999999999996
0.1,0.3,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1091954022988505,0.0057142857142857,0.6877923129099694,0.1637931034482758,0.9803090426170354,0.9999999999999996
0.2,0.1,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0714285714285714,0.6518627236078416,0.04999999999999995,0.6702815541922589,0.1
0.2,0.1,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.0828571428571428,0.0,0.7819774887423353,0.1685714285714285,0.9814491128845246,0.9999999999999998
0.2,0.1,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1,0.0,0.700578888732426,0.2,0.9835994546329396,0.9999999999999998
0.2,0.1,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.0828571428571428,0.0028571428571428,0.7854686108432813,0.1637931034482758,0.982088762685279,0.9999999999999998
0.2,0.1,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.11015554645927135,0.0,0.6723104945649677,0.18740892345476864,0.9815962499344553,0.9999999999999998
0.2,0.1,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1090389618944109,0.0,0.6702760387376397,0.1885714285714285,0.9818133254235001,0.9999999999999998
0.2,0.1,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.0806916426512968,0.0057142857142857,0.7490140584349199,0.15683124368550933,0.9815104670201709,0.9999999999999998
0.2,0.1,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.11158821121571835,0.0028571428571428,0.6861698201749974,0.163323782234957,0.9799740872759535,0.9999999999999998
0.2,0.1,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1085714285714285,0.0028571428571428,0.688981597660497,0.163323782234957,0.9802811250239649,0.9999999999999998
0.2,0.2,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0671428571428571,0.6583487215028156,0.04999999999999995,0.6844477654961526,0.2
0.2,0.2,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.0828571428571428,0.0,0.7799893933991267,0.16642788920725882,0.9811106359449755,0.9999999999999998
0.2,0.2,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1,0.0,0.700578888732426,0.2,0.9835994546329396,0.9999999999999998
0.2,0.2,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.0828571428571428,0.0028571428571428,0.7854686108432813,0.1637931034482758,0.982088762685279,0.9999999999999998
0.2,0.2,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.11015554645927135,0.0,0.6723104945649677,0.18740892345476864,0.9815962499344553,0.9999999999999998
0.2,0.2,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.11031198686371095,0.0,0.6702760387376397,0.1885714285714285,0.9818133254235001,0.9999999999999998
0.2,0.2,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.0806916426512968,0.0057142857142857,0.7490140584349199,0.15562088897747656,0.9815104670201709,0.9999999999999998
0.2,0.2,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.11158821121571835,0.0028571428571428,0.6853757642381699,0.163323782234957,0.9802775734017446,0.9999999999999998
0.2,0.2,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1085714285714285,0.0028571428571428,0.688981597660497,0.163323782234957,0.9800063621992987,0.9999999999999998
0.2,0.3,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0557142857142857,0.6522184792574508,0.04999999999999995,0.6927244614094263,0.3
