sigma,pi_reward,alpha,delta,mu_membership_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime,run_dir
0.95,0.5,0.0,0.7,0.0,4,0.1258992805755395,0.2057142857142857,0.1428571428571428,0.7347260273972602,0.9847945205479453,0.9785076715652986,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.70/sigma_0.95/pi_0.50/seed_04
0.95,0.5,0.0,0.7,0.0,5,0.1174242424242424,0.2457142857142857,0.14,0.7470108179920288,0.9856392737394825,0.9793508989017095,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.70/sigma_0.95/pi_0.50/seed_05
0.95,0.5,0.0,0.7,0.0,6,0.1283018867924528,0.2428571428571428,0.1342857142857142,0.7336819556451613,0.9834929435483871,0.9764765760364746,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.70/sigma_0.95/pi_0.50/seed_06
0.95,0.5,0.0,0.7,0.0,7,0.1232394366197183,0.1885714285714285,0.1428571428571428,0.7453244332190752,0.9851464309339106,0.9790952670162841,CAPTURE,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.70/sigma_0.95/pi_0.50/seed_07
0.95,0.5,0.0,0.7,0.0,8,0.1301115241635687,0.2314285714285714,0.14,0.7536712749615976,0.9831643625192013,0.9756669391391736,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.70/sigma_0.95/pi_0.50/seed_08
0.95,0.5,0.0,0.7,0.0,9,0.1567164179104477,0.2342857142857143,0.1457142857142857,0.7286193727577827,0.9814257609073024,0.9715531382662451,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.70/sigma_0.95/pi_0.50/seed_09
0.95,0.5,0.0,0.7,0.0,10,0.1343283582089552,0.2342857142857143,0.1371428571428571,0.7470194647201946,0.9841240875912409,0.9772527893110695,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.70/sigma_0.95/pi_0.50/seed_10
0.95,0.5,0.0,0.8,0.0,1,0.1223776223776223,0.1828571428571428,0.1514285714285714,0.7405131522207848,0.984961190168176,0.9809836646647884,CAPTURE,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.80/sigma_0.95/pi_0.50/seed_01
0.95,0.5,0.0,0.8,0.0,2,0.1166666666666666,0.1428571428571428,0.1485714285714285,0.7294483794805753,0.9842777420047221,0.9784298660426276,CAPTURE,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.80/sigma_0.95/pi_0.50/seed_02
0.95,0.5,0.0,0.8,0.0,3,0.127147766323024,0.1685714285714285,0.1628571428571428,0.7238205996865045,0.9862972139353795,0.9796430399041229,CAPTURE,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.80/sigma_0.95/pi_0.50/seed_03
0.95,0.5,0.0,0.8,0.0,4,0.1089108910891089,0.1342857142857142,0.14,0.7318285714285714,0.9843428571428572,0.97836468029416,CAPTURE,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.80/sigma_0.95/pi_0.50/seed_04
0.95,0.5,0.0,0.8,0.0,5,0.1298245614035087,0.1857142857142857,0.1514285714285714,0.7384964188179522,0.9836141598392333,0.9790753508184604,CAPTURE,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.80/sigma_0.95/pi_0.50/seed_05
0.95,0.5,0.0,0.8,0.0,6,0.1201413427561837,0.1914285714285714,0.1485714285714285,0.7376522327469553,0.9860735227785296,0.979711398919666,CAPTURE,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.80/sigma_0.95/pi_0.50/seed_06
0.95,0.5,0.0,0.8,0.0,7,0.1162790697674418,0.14,0.1485714285714285,0.7366066673767174,0.9853019490893599,0.9800230933468878,CAPTURE,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.80/sigma_0.95/pi_0.50/seed_07
0.95,0.5,0.0,0.8,0.0,8,0.1111111111111111,0.1771428571428571,0.1485714285714285,0.7514115003014855,0.9850353560269692,0.9786696306655093,CAPTURE,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.80/sigma_0.95/pi_0.50/seed_08
0.95,0.5,0.0,0.8,0.0,9,0.1299638989169675,0.2085714285714285,0.1457142857142857,0.7433610682078621,0.9845548303522496,0.9781555625460178,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.80/sigma_0.95/pi_0.50/seed_09
0.95,0.5,0.0,0.8,0.0,10,0.119047619047619,0.16,0.1457142857142857,0.73733749349974,0.9853874154966199,0.9800172168323309,CAPTURE,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.80/sigma_0.95/pi_0.50/seed_10
