t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,pi_reward,lam_punish
133,0.9739390642200666,0.48728326966902724,0.9680044805294606,0.4887969021219799,0.24869350175742913,0.48219771853241933,0.7625,0.3880657166230371,0.3814725190489823,0.1,0.6971428571428572,0.38145332259358333,0.3758874307868881,0.09142857142857143,0.12285714285714286,0.14,0.08571428571428572,4.8028571428571425,0.071875,0.0,0.03368878753094759,0.13594845272693035,8.625,0.037730755079225686,0.07268457792922522,0.17263845304753542,0.08125,0,0.18179121426801387,0.2091778069991216,5.178854324594436,0.8436171654945491,0.0,1.0,0.6,0.0,0.5075461510158451,0.25754615101584516
134,0.9732534910375622,0.487653446235195,0.9673342515461006,0.4886812899807704,0.24869350175742913,0.48235684066329776,0.7648902821316614,0.38850884221750953,0.3816267433143321,0.10031347962382445,0.6971428571428572,0.38145332259358333,0.3758874307868881,0.09142857142857143,0.09142857142857143,0.10571428571428572,0.08857142857142856,4.888571428571429,0.07210031347962383,0.002857142857142857,0.0338373401512245,0.13582898961959353,8.589341692789969,0.036598832426848915,0.0705829012270679,0.17195929945610935,0.08150470219435736,0,0.18159611605381668,0.20813191796412603,5.180991523816832,0.8267448221846581,0.0,1.0,0.6,0.0,0.5073197664853698,0.2573197664853698
135,0.9737717582356099,0.48713263221456954,0.9678066150780357,0.48810709481684067,0.24869350175742913,0.4826009729528255,0.768025078369906,0.38850884221750953,0.3816267433143321,0.10031347962382445,0.7,0.38145332259358333,0.3758874307868881,0.09142857142857143,0.09142857142857143,0.11714285714285715,0.08857142857142856,4.9314285714285715,0.07523510971786834,0.0,0.03400099110362366,0.1357131104054769,8.589341692789969,0.03550086745404345,0.06853972387177543,0.17130052047242605,0.08150470219435736,0,0.18134470761640473,0.2070912583743054,5.194514550483353,0.810209925740965,0.0,1.0,0.6,0.0,0.5071001734908087,0.2571001734908087
136,0.9732813562826585,0.4872453228776998,0.966930749947973,0.4880687708597503,0.24869350175742913,0.48276829778669395,0.7784810126582279,0.3888776694551277,0.38345285448875055,0.10126582278481013,0.7028571428571428,0.38145332259358333,0.3758874307868881,0.09142857142857143,0.09714285714285714,0.11714285714285715,0.09714285714285714,4.982857142857143,0.06645569620253164,0.008571428571428572,0.034217369774248566,0.13560070756778367,8.474683544303797,0.034435841430422144,0.06655355042823763,0.17066150485825327,0.08227848101265822,0,0.18112312693546553,0.20605580208243385,5.207767116616544,0.7940057272261457,0.0,1.0,0.6,0.0,0.5068871682860844,0.25688716828608443
137,0.9743998088305769,0.48725368849677253,0.9679405528198075,0.48789320171711964,0.24869350175742913,0.4828435655372987,0.7974683544303798,0.38925741629057076,0.3837376646153328,0.10126582278481013,0.72,0.3817961797364404,0.3761445736440309,0.09142857142857143,0.12,0.13714285714285715,0.09714285714285714,5.034285714285715,0.06645569620253164,0.0,0.03438988063963268,0.13549167681522123,8.474683544303797,0.03340276618750948,0.06462291578893375,0.17004165971250568,0.07911392405063292,0,0.1827879405865025,0.22070843360172512,5.24075463142707,0.8605229386891953,0.0,0.9166666666666666,0.6,0.0,0.5066805532375019,0.2566805532375019
138,0.9746257621529018,0.48679224238009144,0.968144556390821,0.48768465387113563,0.24869350175742913,0.4827587995828998,0.7974683544303798,0.38925741629057076,0.3837376646153328,0.10126582278481013,0.72,0.3817961797364404,0.3761445736440309,0.09142857142857143,0.11142857142857143,0.12571428571428572,0.09714285714285714,5.097142857142857,0.06645569620253164,0.0,0.034515614257908334,0.13538591698523575,8.474683544303797,0.032400683201884196,0.06274638505506869,0.16944040992113052,0.07911392405063292,0,0.18247400088357002,0.2196048914337165,5.261653824512814,0.8433124799154114,0.0,1.0,0.6,0.0,0.5064801366403768,0.25648013664037683
139,0.976321580942611,0.4868876880736005,0.9692800707987552,0.4877537682224181,0.24869350175742913,0.4827665284422834,0.7714285714285715,0.38898494822772534,0.384785380973886,0.10158730158730159,0.6942857142857143,0.3817961797364404,0.3761445736440309,0.09142857142857143,0.06571428571428571,0.08857142857142856,0.1,5.168571428571428,0.06984126984126984,0.002857142857142857,0.0347066203602611,0.13528332995014977,8.393650793650794,0.03142866270582767,0.06092255338024011,0.1688571976234966,0.07936507936507936,0,0.18213263087915216,0.2185068669765479,5.244992176593986,0.8264462303171032,0.0,1.0,0.6,0.0,0.5062857325411655,0.25628573254116555
140,0.9748762517184306,0.48726499609387336,0.967979274496993,0.4882350440555032,0.24869350175742913,0.4827069619962915,0.8158730158730159,0.3891119323547095,0.3848806190691241,0.10158730158730159,0.7342857142857143,0.3819104654507261,0.3762302879297452,0.09142857142857143,0.08857142857142856,0.11428571428571428,0.1,5.248571428571428,0.06666666666666667,0.0,0.034833332736982525,0.1351838205261164,8.393650793650794,0.03048580282465284,0.059150045779710836,0.1682914816947917,0.07936507936507936,0,0.1823355391533278,0.21741433264166515,5.25437804734782,0.8974510103234863,0.0,0.975,0.6,0.0,0.5060971605649306,0.2560971605649306
141,0.9763703829638535,0.4864194997967193,0.9690521121985118,0.4873893191065838,0.24869350175742913,0.48266761083961807,0.7866242038216561,0.38940071237201346,0.3859557263329315,0.10191082802547771,0.7057142857142857,0.38213903687929757,0.37640171650117377,0.09142857142857143,0.10285714285714286,0.12285714285714286,0.10285714285714286,5.314285714285714,0.06687898089171974,0.002857142857142857,0.035013420043964946,0.135087296384804,8.26751592356688,0.029571228739913254,0.057427516908195475,0.16774273724394795,0.07961783439490445,0,0.18347972002898977,0.21632726097845684,5.272147629258006,0.9249595161668698,0.0,0.9302325581395349,0.6,0.0,0.5059142457479826,0.25591424574798266
142,0.9765268989949644,0.48546708178240566,0.9691925294378513,0.4866390836890802,0.24869350175742913,0.4825966412629679,0.7898089171974523,0.3894644066395294,0.3860034970335684,0.10191082802547771,0.7085714285714285,0.3821961797364405,0.3764445736440309,0.09142857142857143,0.08857142857142856,0.11428571428571428,0.10285714285714286,5.385714285714286,0.06687898089171974,0.0,0.035180672881415215,0.13499366796773102,8.26751592356688,0.028684091877715857,0.055753650808906485,0.16721045512662952,0.07961783439490445,0,0.18364760714313053,0.21524562467356453,5.280990390958561,0.932424478511788,0.0,0.975,0.6,0.0,0.5057368183755432,0.2557368183755432
