eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share,median_final_delta
0.0,0.8,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.08756846473029045,0.30999999999999994,0.8396582680448312,0.15721802429085724,0.9772810156960681,0.8
0.0,0.8,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.12205974092693844,0.3357142857142857,0.8330779855127342,0.1843253968253968,0.9777594053287485,0.8
0.0,0.8,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.0919553728714034,0.2457142857142857,0.8092025895138973,0.16261954261954253,0.9811176405411406,0.8
0.0,0.8,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13246434937611407,0.2571428571428571,0.7558484512456569,0.18210405946254998,0.9791214576331291,0.8
0.0,0.8,0.75,0.5,0.0,0.0,30,MIXED,0,1,29,0,0.1346153846153846,0.2542857142857143,0.757496519044355,0.18236188092258176,0.9791362331637061,0.8
0.0,0.8,0.95,0.05,0.0,0.0,30,CAPTURE,0,24,6,0,0.08759240759240755,0.1871428571428571,0.7762147066267135,0.15457092049409155,0.9812164968165847,0.8
0.0,0.8,0.95,0.25,0.0,0.0,30,CAPTURE,0,22,8,0,0.1241372745014041,0.1857142857142857,0.734364962415974,0.1580645161290322,0.9788423081183346,0.8
0.0,0.8,0.95,0.5,0.0,0.0,30,CAPTURE,0,30,0,0,0.12240905685507365,0.1771428571428571,0.7340838268103611,0.1563840182400521,0.9784476316169961,0.8
0.0,0.95,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0,0.4277203988031285,0.04999999999999995,0.4470814722868791,0.95
0.0,0.95,0.25,0.25,0.0,0.0,30,CAPTURE,0,30,0,0,0.08439529220779221,0.1,0.7958945343448606,0.1651090342679127,0.981040415324024,0.95
0.0,0.95,0.25,0.5,0.0,0.0,30,CAPTURE,0,30,0,0,0.10714492367869825,0.1371428571428571,0.7372239275572411,0.1961099552361137,0.9831303055085825,0.95
0.0,0.95,0.75,0.05,0.0,0.0,30,CAPTURE,0,30,0,0,0.0835913312693498,0.0771428571428571,0.7870555332746321,0.17209134615384614,0.9824678519084009,0.95
0.0,0.95,0.75,0.25,0.0,0.0,30,CAPTURE,0,30,0,0,0.1152081563296516,0.0828571428571428,0.6993259404757783,0.1874889180467392,0.9820643305088841,0.95
0.0,0.95,0.75,0.5,0.0,0.0,30,CAPTURE,0,30,0,0,0.11919964718515105,0.0857142857142857,0.6944157482836055,0.188953488372093,0.9816074002523928,0.95
0.0,0.95,0.95,0.05,0.0,0.0,30,CAPTURE,0,30,0,0,0.08320512820512815,0.0542857142857142,0.7601473091871629,0.15791307022781964,0.9822709816860375,0.95
0.0,0.95,0.95,0.25,0.0,0.0,30,CAPTURE,0,30,0,0,0.11112714547274805,0.05857142857142855,0.7018351847315131,0.165680473372781,0.9799024167540895,0.95
0.0,0.95,0.95,0.5,0.0,0.0,30,CAPTURE,0,30,0,0,0.1119518447313009,0.0542857142857142,0.704297391513403,0.16272065004202854,0.9797655764293091,0.95
