t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,pi_reward,lam_punish
234,0.9766386475046431,0.5194131130035992,0.9576779836605888,0.5144910408890829,0.26040296497001675,0.5186631489175388,0.8098591549295775,0.40096022891729405,0.4042753416065281,0.10211267605633803,0.6571428571428571,0.38196744440732744,0.39149881022653565,0.08285714285714285,0.07428571428571429,0.07714285714285714,0.18857142857142858,12.134285714285713,0.0528169014084507,0.0,0.01679574003478483,0.13925883551197435,7.070422535211268,0.06909690104649388,0.12907011264601032,0.19145814062789632,0.08098591549295775,0,0.1829465232207822,0.25006573854669367,4.436373283009227,0.8228260840833883,0.0,1.0,0.0,0.4,0.5138193802092987,0.2638193802092988
235,0.9762756660348529,0.5207989778899967,0.957383450125102,0.5154527083737045,0.26040296497001675,0.5186894206472284,0.8485915492957746,0.40103065145250527,0.4043281585079365,0.10211267605633803,0.6885714285714286,0.3820245872644703,0.3915416673693928,0.08285714285714285,0.06571428571428571,0.07428571428571429,0.18857142857142858,12.188571428571429,0.0528169014084507,0.0,0.016891013051737767,0.13904006092108626,7.070422535211268,0.06702399401509906,0.12545190424408792,0.19021439640905943,0.08098591549295775,0,0.18303121917610685,0.24881540985396022,4.421931531634757,0.813625510640054,0.0,0.9615384615384616,0.0,0.4,0.5134047988030198,0.2634047988030198
236,0.9773034984645468,0.5199971655168572,0.9582174627251964,0.5146901549974111,0.26040296497001675,0.5190415571763957,0.8169014084507042,0.4012419190581391,0.40448660921216195,0.10211267605633803,0.6628571428571428,0.3821960158358989,0.39167023879796425,0.08285714285714285,0.08285714285714285,0.09142857142857143,0.18857142857142858,12.237142857142857,0.0528169014084507,0.0,0.01698498265583976,0.13882784956792474,7.070422535211268,0.06501327419464609,0.12192788078932892,0.18900796451678764,0.08098591549295775,0,0.1836006373623692,0.25914586043999654,4.424921472430633,0.8204418284569713,0.0,0.9375,0.0,0.4,0.5130026548389293,0.2630026548389292
237,0.9768434697928134,0.522066012912499,0.9578441823172756,0.5166749289772435,0.26040296497001675,0.5193853720787582,0.8204225352112676,0.4012419190581391,0.40448660921216195,0.10211267605633803,0.6657142857142857,0.3821960158358989,0.39167023879796425,0.08285714285714285,0.06285714285714286,0.06571428571428571,0.18857142857142858,12.288571428571428,0.0528169014084507,0.0,0.01707761499073388,0.13862200455535817,7.070422535211268,0.0630628759688067,0.11849601102135776,0.18783772558128403,0.08098591549295775,0,0.1831110627469859,0.2578501311377966,4.402137328696306,0.8040329918878318,0.0,1.0,0.0,0.4,0.5126125751937614,0.26261257519376136
238,0.9770200677490936,0.5216454420228473,0.9579874789446572,0.5162279972040853,0.26040296497001675,0.5197060500699435,0.8028169014084507,0.4013123415933504,0.40453942611357036,0.10211267605633803,0.6514285714285715,0.3822531586930417,0.3917130959408213,0.08285714285714285,0.07428571428571429,0.08,0.18857142857142858,12.34,0.056338028169014086,0.0,0.017168879996997836,0.1384223348931685,7.070422535211268,0.0611709896897425,0.11515428223408042,0.1867025938138455,0.08098591549295775,0,0.1831945081475367,0.2565608804821076,4.39409458212238,0.8221780795234651,0.0,0.9642857142857143,0.0,0.4,0.5122341979379486,0.2622341979379485
239,0.9763079217541609,0.5209327221815505,0.9574096233373405,0.5158045530839716,0.26040296497001675,0.5199461665813733,0.7922535211267606,0.4014531866637729,0.4046450599163872,0.10211267605633803,0.6428571428571429,0.3823674444073274,0.3917988102265356,0.08285714285714285,0.07714285714285714,0.08285714285714285,0.18857142857142858,12.388571428571428,0.056338028169014086,0.0,0.017258751252607635,0.13822865532084452,7.070422535211268,0.05933585999905022,0.11190070184776524,0.18560151599943012,0.08098591549295775,0,0.1832779641782276,0.25527807607969705,4.389069833337075,0.8540060385524014,0.0,0.9655172413793104,0.0,0.4,0.51186717199981,0.26186717199981
240,0.9762783383571092,0.5198173932935862,0.9573856185237326,0.5148049242789617,0.26040296497001675,0.5201818279703007,0.7922535211267606,0.40152360919898417,0.4046978768177957,0.10211267605633803,0.6428571428571429,0.38242458726447026,0.39184166736939274,0.08285714285714285,0.07428571428571429,0.08,0.18857142857142858,12.437142857142858,0.056338028169014086,0.0,0.01734720581232077,0.13804078613569035,7.070422535211268,0.05755578419907871,0.10873329883857896,0.1845334705194472,0.08098591549295775,0,0.18333243221447929,0.25400168569929854,4.381288436670333,0.865788940102634,0.0,0.9642857142857143,0.0,0.4,0.5115111568398157,0.26151115683981574
241,0.9739291801757892,0.5186947535708573,0.9554794444566046,0.5140469775213311,0.26040296497001675,0.5202859874804784,0.8274647887323944,0.4015940317341954,0.40475069371920414,0.10211267605633803,0.6714285714285714,0.3824817301216131,0.3918845245122499,0.08285714285714285,0.07428571428571429,0.07714285714285714,0.18857142857142858,12.471428571428572,0.056338028169014086,0.0,0.017434224046890386,0.1378585530260907,7.070422535211268,0.05582911067310635,0.1056501250330999,0.1834974664038638,0.08098591549295775,0,0.18327291291054976,0.25330683746034116,4.370805525079785,0.8542709584100077,0.0,0.9629629629629629,0.0,0.4,0.5111658221346213,0.26116582213462125
242,0.9753543252314144,0.5184756207646035,0.956635847873169,0.5136997320600216,0.26040296497001675,0.5202183780286829,0.8169014084507042,0.4015940317341954,0.40475069371920414,0.10211267605633803,0.6628571428571428,0.3824817301216131,0.3918845245122499,0.08285714285714285,0.05714285714285714,0.06285714285714286,0.18857142857142858,12.502857142857144,0.056338028169014086,0.0,0.017519789482920833,0.13768178690977914,7.070422535211268,0.05415423735291316,0.1026492562750918,0.1824925424117479,0.08098591549295775,0,0.18298326691385414,0.2520403032730395,4.3462465574353315,0.8371855392418075,0.0,1.0,0.0,0.4,0.5108308474705826,0.2608308474705826
243,0.9758044766907591,0.5184424248339122,0.9570011136287516,0.5137159401923495,0.26040296497001675,0.5200823321989937,0.8345070422535211,0.40173487680461795,0.40485632752202105,0.10211267605633803,0.6771428571428572,0.38259601583589886,0.3919702387979642,0.08285714285714285,0.07428571428571429,0.08,0.18857142857142858,12.551428571428572,0.056338028169014086,0.0,0.01760388864408117,0.13751032377695682,7.070422535211268,0.05252961023232576,0.0997287934715827,0.18151776613939546,0.08098591549295775,0,0.18306777915071346,0.25716605113891466,4.339321626286624,0.8571839338484425,0.0,0.9642857142857143,0.0,0.4,0.5105059220464652,0.26050592204646517
244,0.9765027624471847,0.5190960746591873,0.9575677226425371,0.5142538053471751,0.26040296497001675,0.5200617078497758,0.823943661971831,0.40173487680461795,0.40485632752202105,0.10211267605633803,0.6685714285714286,0.38259601583589886,0.3919702387979642,0.08285714285714285,0.07428571428571429,0.07428571428571429,0.18857142857142858,12.597142857142858,0.056338028169014086,0.0,0.017686510894305115,0.13734400453811932,7.070422535211268,0.05095372192535599,0.09688686352504317,0.1805722331552136,0.08098591549295775,0,0.18258086882638846,0.2558802208832201,4.3268209080466065,0.8400402551714736,0.0,1.0,0.0,0.4,0.5101907443850712,0.26019074438507117
245,0.9764950574331817,0.5205053870723493,0.9575614705740315,0.5153500820155037,0.26040296497001675,0.5201306036292132,0.7711267605633803,0.40173487680461795,0.40485632752202105,0.10211267605633803,0.6257142857142857,0.38259601583589886,0.3919702387979642,0.08285714285714285,0.06571428571428571,0.07142857142857142,0.18857142857142858,12.648571428571428,0.056338028169014086,0.0,0.017767648283524673,0.13718267487644684,7.070422535211268,0.04942511026759531,0.09412162015821623,0.17965506616055718,0.08098591549295775,0,0.18212467876797075,0.254600819778804,4.311713061314245,0.8232394500680441,0.0,1.0,0.0,0.4,0.509885022053519,0.25988502205351904
246,0.9775919687848769,0.5214074140290033,0.9584515357851213,0.5161411487644413,0.26040296497001675,0.5202260046663204,0.7992957746478874,0.40173487680461795,0.40485632752202105,0.10211267605633803,0.6485714285714286,0.38259601583589886,0.3919702387979642,0.08285714285714285,0.06285714285714286,0.06857142857142857,0.18857142857142858,12.694285714285714,0.056338028169014086,0.0,0.017847295396408985,0.13702618510462453,7.070422535211268,0.047942356959567445,0.09143124463789898,0.17876541417574046,0.08098591549295775,0,0.18181262965627382,0.25332781567991,4.294050228659389,0.8067746610666833,0.0,1.0,0.0,0.4,0.5095884713919134,0.2595884713919135
247,0.9790337952655236,0.5215835901395108,0.9596214749865606,0.5164557622290474,0.26040296497001675,0.520219145602314,0.8204225352112676,0.40173487680461795,0.40485632752202105,0.10211267605633803,0.6657142857142857,0.38259601583589886,0.3919702387979642,0.08285714285714285,0.06571428571428571,0.07142857142857142,0.18857142857142858,12.734285714285715,0.056338028169014086,0.0,0.017925449204510835,0.13687439002595692,7.070422535211268,0.04650408625078042,0.08881394640373375,0.17790245175046823,0.08098591549295775,0,0.18144585222227813,0.2520611766015104,4.279597795514772,0.7906391678453496,0.0,1.0,0.0,0.4,0.5093008172501561,0.2593008172501561
248,0.9785888780453379,0.5213012418736452,0.9592604564421813,0.5164526407222534,0.26040296497001675,0.5203339328424759,0.8169014084507042,0.40173487680461795,0.40485632752202105,0.10211267605633803,0.6628571428571428,0.38259601583589886,0.3919702387979642,0.08285714285714285,0.06285714285714286,0.06571428571428571,0.18857142857142858,12.771428571428572,0.05985915492957746,0.0,0.018002108922159324,0.1367271487996493,7.070422535211268,0.04510896366325701,0.08626796360781619,0.1770653781979542,0.08098591549295775,0,0.18093833724688102,0.2508008707185029,4.259720125318762,0.7748263844884425,0.0,1.0,0.0,0.4,0.5090217927326514,0.2590217927326514
249,0.9771888430256433,0.5212742671709785,0.9581244280262006,0.5167661681207647,0.26040296497001675,0.5203280540264997,0.8098591549295775,0.4018052993398292,0.4049091444234295,0.10211267605633803,0.6571428571428571,0.3826531586930417,0.3920130959408214,0.08285714285714285,0.05714285714285714,0.06,0.18857142857142858,12.817142857142857,0.05985915492957746,0.0,0.018077275866379368,0.13658432481013094,7.070422535211268,0.043755694753359296,0.08379156357069062,0.17625341685201557,0.08098591549295775,0,0.18111482816878696,0.24954686636491033,4.234525722812387,0.8128437614543633,0.0,0.9523809523809523,0.0,0.4,0.5087511389506718,0.25875113895067187
250,0.9776248904118677,0.5213803130683001,0.9584782493338795,0.5168347439731353,0.26040296497001675,0.5201648368611463,0.7992957746478874,0.4018757218750405,0.40496196132483797,0.10211267605633803,0.6485714285714286,0.38271030155018454,0.3920559530836785,0.08285714285714285,0.06857142857142857,0.07142857142857142,0.18857142857142858,12.868571428571428,0.05985915492957746,0.0,0.018150953321065453,0.1364457855402981,7.070422535211268,0.042443023910758514,0.08138304315905875,0.1754658143464551,0.08098591549295775,0,0.18129311473865733,0.26472846202957245,4.221263779784712,0.8175208458095466,0.0,0.96,0.0,0.4,0.5084886047821517,0.2584886047821517
251,0.9760615743761709,0.5209006627896373,0.9572097300363428,0.5167996846331115,0.26040296497001675,0.5199489359109312,0.8415492957746479,0.4018757218750405,0.40496196132483797,0.10211267605633803,0.6828571428571428,0.38271030155018454,0.3920559530836785,0.08285714285714285,0.06285714285714286,0.07142857142857142,0.18857142857142858,12.922857142857143,0.056338028169014086,0.0,0.018223146405589356,0.1363114024485603,7.070422535211268,0.04116973319343576,0.07904072909029669,0.17470183991606145,0.08098591549295775,0,0.18087164987924978,0.2634048197194246,4.208267075617588,0.8011704288933557,0.0,1.0,0.0,0.4,0.5082339466386872,0.25823394663868715
