punish_floor,seed,regime_hier,final_delta,median_exit_rate,final_fund_prevalence,max_punish
0.04,30,MIXED,0.9999999999999996,0.0085714285714285,0.1037463976945245,0.1942857142857142
0.06,1,MIXED,0.9999999999999996,0.0457142857142857,0.1107784431137724,0.1857142857142857
0.06,2,MIXED,0.9999999999999996,0.0314285714285714,0.1002949852507374,0.2
0.06,3,MIXED,0.9999999999999996,0.0314285714285714,0.1002949852507374,0.1828571428571428
0.06,4,MIXED,0.9999999999999996,0.0285714285714285,0.1,0.1857142857142857
0.06,5,MIXED,0.9999999999999996,0.0371428571428571,0.1068249258160237,0.1771428571428571
0.06,6,MIXED,0.9999999999999996,0.0542857142857142,0.1057401812688821,0.18
0.06,7,MIXED,0.9999999999999996,0.0514285714285714,0.1234939759036144,0.1657142857142857
0.06,8,MIXED,0.9999999999999996,0.0428571428571428,0.1014925373134328,0.18
0.06,9,MIXED,0.9999999999999996,0.04,0.1160714285714285,0.1885714285714285
0.06,10,MIXED,0.9999999999999996,0.0314285714285714,0.1091445427728613,0.1771428571428571
0.06,11,MIXED,0.9999999999999996,0.0371428571428571,0.115727002967359,0.1828571428571428
0.06,12,MIXED,0.9999999999999996,0.0342857142857142,0.1213017751479289,0.1828571428571428
0.06,13,MIXED,0.9999999999999996,0.04,0.1130952380952381,0.1857142857142857
0.06,14,MIXED,0.9999999999999996,0.0171428571428571,0.1191860465116279,0.1942857142857142
0.06,15,MIXED,0.9999999999999996,0.0314285714285714,0.103244837758112,0.18
0.06,16,MIXED,0.9999999999999996,0.04,0.119047619047619,0.1828571428571428
0.06,17,MIXED,0.9999999999999996,0.04,0.1130952380952381,0.1828571428571428
0.06,18,MIXED,0.9999999999999996,0.0285714285714285,0.1058823529411764,0.18
0.06,19,MIXED,0.9999999999999996,0.0542857142857142,0.1238670694864048,0.1828571428571428
0.06,20,MIXED,0.9999999999999996,0.0314285714285714,0.0943952802359882,0.1828571428571428
0.06,21,MIXED,0.9999999999999996,0.0428571428571428,0.0985074626865671,0.18
0.06,22,MIXED,0.9999999999999996,0.0457142857142857,0.1137724550898203,0.1857142857142857
0.06,23,MIXED,0.9999999999999996,0.0571428571428571,0.106060606060606,0.18
0.06,24,MIXED,0.9999999999999996,0.04,0.1071428571428571,0.1714285714285714
0.06,25,MIXED,0.9999999999999996,0.0514285714285714,0.108433734939759,0.1742857142857143
0.06,26,MIXED,0.9999999999999996,0.0285714285714285,0.1029411764705882,0.1771428571428571
0.06,27,MIXED,0.9999999999999996,0.0457142857142857,0.122754491017964,0.1828571428571428
0.06,28,MIXED,0.9999999999999996,0.0571428571428571,0.103030303030303,0.1742857142857143
0.06,29,MIXED,0.9999999999999996,0.04,0.0952380952380952,0.18
0.06,30,MIXED,0.9999999999999996,0.0257142857142857,0.1143695014662756,0.1828571428571428
0.08,1,MIXED,0.9999999999999996,0.0857142857142857,0.09375,0.1714285714285714
