t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,mu_membership_reward,pi_reward,lam_punish
341,0.9822952582769451,0.5233968389555815,0.922327573023339,0.5208195603931689,0.246879425001856,0.5353091947338517,0.8223140495867769,0.45452887574213013,0.40865120517399495,0.11570247933884298,0.5685714285714286,0.41488983366652876,0.3879862434400057,0.08285714285714285,0.025714285714285714,0.025714285714285714,0.30857142857142855,16.294285714285714,0.012396694214876033,0.0,0.022130359385194465,0.12439440890588262,4.570247933884297,0.05711635617695433,0.10794965940854029,0.1842698137061726,0.07851239669421488,0,0.1635935465652398,0.3027669951248085,2.606350326617542,0.7707068969586678,0.0,1.0,0.0,0.3,0.2,0.5114232712353909,0.2614232712353909
342,0.9816198044454392,0.5247924234745606,0.9218605449455546,0.5218176859497858,0.246879425001856,0.5359537543424465,0.8140495867768595,0.45452887574213013,0.40865120517399495,0.11570247933884298,0.5628571428571428,0.41488983366652876,0.3879862434400057,0.08285714285714285,0.04,0.04285714285714286,0.30857142857142855,16.32857142857143,0.012396694214876033,0.0,0.022257210015142803,0.12421356711317723,4.570247933884297,0.0554028654916457,0.10488737531141057,0.18324171929498742,0.07851239669421488,0,0.16323143740384216,0.30125316014918446,2.5970804629423334,0.7552927590194944,0.0,1.0,0.0,0.3,0.2,0.5110805730983291,0.26108057309832916
343,0.980541078964694,0.5262677073292341,0.9211146833274396,0.5230163629287196,0.246879425001856,0.5367119827531722,0.8099173553719008,0.45452887574213013,0.40865120517399495,0.11570247933884298,0.56,0.41488983366652876,0.3879862434400057,0.08285714285714285,0.022857142857142857,0.022857142857142857,0.30857142857142855,16.34285714285714,0.02066115702479339,0.0,0.022381851979727568,0.12403815057425309,4.570247933884297,0.05374077952689633,0.10190691601565216,0.18224446771613778,0.07851239669421488,0,0.16269999735610866,0.2997468943484385,2.5679959965406294,0.7401869038391046,0.0,1.0,0.0,0.3,0.2,0.5107481559053793,0.26074815590537925
344,0.9799488204144287,0.5276168587076241,0.9207051788441131,0.5240773403680987,0.246879425001856,0.5374348585978018,0.8223140495867769,0.4546115203702293,0.4087131886450694,0.11570247933884298,0.5685714285714286,0.41494697652367163,0.3880291005828629,0.08285714285714285,0.04285714285714286,0.04857142857142857,0.30857142857142855,16.34857142857143,0.02066115702479339,0.0,0.02250427152194947,0.12386799653149659,4.570247933884297,0.05212855614108944,0.0990063888857986,0.18127713368465365,0.07851239669421488,0,0.16279935736575668,0.2982481598766963,2.5652075051812457,0.7410511492091748,0.0,0.9411764705882353,0.0,0.3,0.2,0.5104257112282179,0.2604257112282179
345,0.9794585299203528,0.526835652770787,0.9199304540155536,0.5235399842797387,0.246879425001856,0.5382002966218703,0.8008298755186722,0.453244219284469,0.4094488939686607,0.11618257261410789,0.5514285714285714,0.41494697652367163,0.3880291005828629,0.08285714285714285,0.04,0.04,0.31142857142857144,16.37142857142857,0.02074688796680498,0.002857142857142857,0.02262933093258089,0.12370294711002282,4.564315352697095,0.05056469945685675,0.09618392749922455,0.18033881967411405,0.07883817427385892,0,0.1622423605789279,0.29675691907731283,2.553903355077621,0.7262301262249914,0.0,1.0,0.0,0.3,0.2,0.5101129398913713,0.26011293989137135
346,0.979664288318596,0.5273432106458097,0.9200721333697726,0.5240109021954582,0.246879425001856,0.5389413315208714,0.7759336099585062,0.4533272068363362,0.40951113463256106,0.11618257261410789,0.5342857142857143,0.41500411938081455,0.38807195772572006,0.08285714285714285,0.037142857142857144,0.04,0.31142857142857144,16.38,0.024896265560165973,0.0,0.022748642487473714,0.1235428491711932,4.564315352697095,0.04904775847315105,0.09343769244496569,0.1794286550838906,0.07883817427385892,0,0.16231444446890828,0.31181736997396026,2.5428252879760684,0.727570585564111,0.0,0.9285714285714286,0.0,0.3,0.2,0.5098095516946302,0.2598095516946302
347,0.9810411663629466,0.5286249761615678,0.9210202122517396,0.5244326857863512,0.246879425001856,0.5397304915517689,0.8381742738589212,0.4533272068363362,0.40951113463256106,0.11618257261410789,0.5771428571428572,0.41500411938081455,0.38807195772572006,0.08285714285714285,0.04285714285714286,0.045714285714285714,0.31142857142857144,16.382857142857144,0.024896265560165973,0.0,0.022864419526292017,0.1233875541705285,4.564315352697095,0.047576325718956515,0.09076587202303954,0.1785457954313739,0.07883817427385892,0,0.16204444510370658,0.31025828312409043,2.5376830679308324,0.7130191738528289,0.0,1.0,0.0,0.3,0.2,0.5095152651437913,0.2595152651437913
348,0.9821995194485644,0.529844406981098,0.9218178210906937,0.5249641569917113,0.246879425001856,0.5404815934047631,0.8215767634854771,0.4533272068363362,0.40951113463256106,0.11618257261410789,0.5657142857142857,0.41500411938081455,0.38807195772572006,0.08285714285714285,0.04,0.04285714285714286,0.31142857142857144,16.394285714285715,0.024896265560165973,0.0,0.02297795473980822,0.12323691801988379,4.564315352697095,0.04614903594738782,0.08816668285025797,0.17768942156843268,0.07883817427385892,0,0.16154836573533088,0.30870699170847,2.529786549429359,0.6987587903757723,0.0,1.0,0.0,0.3,0.2,0.5092298071894775,0.2592298071894776
349,0.9804159546496966,0.5291801924530974,0.9205897093291875,0.5247885557263672,0.246879425001856,0.540860162008877,0.8132780082987552,0.4534931819400706,0.4096356159603619,0.11618257261410789,0.56,0.4151184050951003,0.38815767201143436,0.08285714285714285,0.03428571428571429,0.03428571428571429,0.31142857142857144,16.408571428571427,0.024896265560165973,0.0,0.023089251864541572,0.12309080095375836,4.564315352697095,0.044764564868966183,0.08563837037828248,0.1768587389213797,0.07883817427385892,0,0.16176905247808282,0.3071634567499276,2.513476532726486,0.7364275374118238,0.0,0.8333333333333334,0.0,0.3,0.2,0.5089529129737932,0.25895291297379325
350,0.9802698853273856,0.5288874702913834,0.9204891301672532,0.5242873054487676,0.246879425001856,0.5411415197640577,0.8589211618257261,0.45365915704380505,0.40976009728816276,0.11618257261410789,0.5914285714285714,0.415232690809386,0.38824338629714866,0.08285714285714285,0.03428571428571429,0.037142857142857144,0.31142857142857144,16.402857142857144,0.024896265560165973,0.0,0.023198317496759848,0.12294906739961675,4.564315352697095,0.043421627922897194,0.08317920932942868,0.17605297675373832,0.07883817427385892,0,0.16178777935854957,0.305627639466178,2.5003498592148135,0.7900236450685579,0.0,0.9230769230769231,0.0,0.3,0.2,0.5086843255845794,0.25868432558457943
