arm,run_dir,seed,turnover_mode,exit_capacity_mode,mu_membership_reward,ec_tenure_crowdout,born_inside_frac,ec50,ec200,ec449,n_active,exit_capacity_mean,exit_capacity_sd,exit_capacity_ndistinct,cumulative_exit_rate,exit_rate_last100,frac_born_inside,mean_econ_independence,mean_outside_ties,enforcer_punish_share,code_sha256,aggregated_utc
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0.8/seed_02,2,on,endogenous,0.6,0.008,0.8,0.5324523188892447,0.3795525945696191,0.3580970336150989,206,0.3580565852742759,0.15540590740572333,206,0.3133333333333333,0.0283018867924528,0.4320388349514563,0.6311742465415267,0.0850198206886711,0.9799967474386079,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0.8/seed_03,3,on,endogenous,0.6,0.008,0.8,0.5257278390394342,0.3845254216498222,0.3627076733230344,224,0.3627460814112952,0.15767235647066824,224,0.2533333333333333,0.0303030303030303,0.46875,0.635291735268634,0.0901236113774346,0.9775927327781984,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0.8/seed_04,4,on,endogenous,0.6,0.008,0.8,0.5251727697337958,0.3643907954403295,0.3472112701723854,204,0.34732416925248394,0.13025461033503904,204,0.32,0.0331753554502369,0.5049019607843137,0.6221885746512146,0.0722339656935565,0.9674781639100539,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0.8/seed_05,5,on,endogenous,0.6,0.008,0.8,0.5411510721340486,0.3595030836182902,0.3442117111725699,210,0.3443410088232869,0.11231635501683704,210,0.3,0.0410958904109589,0.4809523809523809,0.6284524286391743,0.0599709937059655,0.9821712830308819,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0.8/seed_06,6,on,endogenous,0.6,0.008,0.8,0.5321521479609811,0.3940077239987128,0.3487502893117488,206,0.34719120891447025,0.12421225381800303,206,0.3133333333333333,0.0593607305936073,0.470873786407767,0.6330113105955182,0.0644892680279793,0.9281056966369252,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0.8/seed_07,7,on,endogenous,0.6,0.008,0.8,0.5228161235934786,0.3635567586620339,0.3366423353725238,214,0.3366598096100019,0.11444021012765106,214,0.2866666666666667,0.0403587443946188,0.5186915887850467,0.6165218419611134,0.056762828783934,0.979245568853204,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0.8/seed_08,8,on,endogenous,0.6,0.008,0.8,0.520157283560663,0.3625776554836996,0.3599281745891817,208,0.358003163440206,0.14777695833473026,208,0.3066666666666666,0.0502283105022831,0.4449760765550239,0.6357869946975466,0.0840693544808168,0.975633177289641,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0.8/seed_09,9,on,endogenous,0.6,0.008,0.8,0.5474332661170125,0.3738008789013427,0.3634974467994355,210,0.3633573976746666,0.14624497517115018,210,0.3,0.0454545454545454,0.4786729857819905,0.6466389154253043,0.0803559781735668,0.9713616714697406,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0.8/seed_10,10,on,endogenous,0.6,0.008,0.8,0.5439305554886121,0.3742410330097052,0.3677602126229722,223,0.36785249262372427,0.15337169009578253,223,0.2566666666666666,0.0304347826086956,0.4663677130044843,0.6407870433166406,0.0947333819293037,0.9816645179773671,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0/seed_01,1,on,endogenous,0.6,0.008,0.0,0.5963079858097452,0.5012706161111243,0.50637471963991,183,0.5055400381621498,0.24128478563305253,182,0.39,0.046875,0.0,0.7535301617305181,0.2592192775493017,0.965929888779389,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
